site,site_id,canonical_run_module,observation_family,observation_name,observation_source,raw_selector_or_variable,mapping_type,mapped_pool_or_pools,depth_window_cm,observation_time_handling,used_in_canonical_inversion,notes
Harvard Forest,US-Ha1,notebooks/sites/canonical.py:run_hf_canonical,pool_delta14C,israd_fraction_free_light,ISRaD fraction table (density fractions),"site_name contains Harvard; frc_scheme=density; free light; entry=Gaudinski_2000 or Savage_unpub",fraction_to_pool,soil_active,,entry year mapped to model time,yes,"Implemented as extra ObsBlocks; Harvard canonical run omits standard delta14C_obs pool series."
Harvard Forest,US-Ha1,notebooks/sites/canonical.py:run_hf_canonical,pool_delta14C,israd_fraction_occluded_light,ISRaD fraction table (density fractions),"site_name contains Harvard; frc_scheme=density; occluded light; entry=Gaudinski_2000 or Savage_unpub",fraction_to_pool,soil_slow,,entry year mapped to model time,yes,"Implemented as extra ObsBlocks."
Harvard Forest,US-Ha1,notebooks/sites/canonical.py:run_hf_canonical,pool_delta14C,israd_fraction_heavy,ISRaD fraction table (density fractions),"site_name contains Harvard; frc_scheme=density; heavy; entry=Gaudinski_2000 or Savage_unpub",fraction_to_pool,soil_passive,,entry year mapped to model time,yes,"Implemented as extra ObsBlocks; McFarlane_2013 soil_passive excluded."
Harvard Forest,US-Ha1,notebooks/sites/canonical.py:run_hf_canonical,resp_delta14C,nwn_respired_co2,hf212-01-14c-no-treat.csv,"site=NWN; delta.14c grouped by year.date",aggregate_respiration,all_soil_pools,,nearest model day from decimal year,yes,"Respired Δ14C constrains the decomposition-weighted mixture of all respiring soil pools."
Harvard Forest,US-Ha1,notebooks/sites/canonical.py:run_hf_canonical,c_stock,israd_o_horizon_stock,ISRaD layer table,"profiles H1-H5; lyr_soc summed by layer midpoint",depth_bin_to_pool,soil_active,-15 to 0,profile means aggregated across profiles,yes,"O horizon stock constraint."
Harvard Forest,US-Ha1,notebooks/sites/canonical.py:run_hf_canonical,c_stock,israd_a_horizon_stock,ISRaD layer table,"profiles H1-H5; lyr_soc summed by layer midpoint",depth_bin_to_pool,soil_slow,0 to 15,profile means aggregated across profiles,yes,"A horizon stock constraint."
Harvard Forest,US-Ha1,notebooks/sites/canonical.py:run_hf_canonical,c_stock,israd_b_horizon_stock,ISRaD layer table,"profiles H1-H5; lyr_soc summed by layer midpoint",depth_bin_to_pool,soil_passive,15 to 100,profile means aggregated across profiles,yes,"B horizon stock constraint."
Barrow,US-A10,notebooks/sites/canonical.py:run_barrow_canonical,pool_delta14C,israd_bulk_layer_active,ISRaD layer table (Vaughn 2018 + Nave 2021),"profiles A3C,A4C,B3C,C1C,H3C,TC,Z210C,Z415C,Z53C,BARR_1; lyr_14c",depth_bin_to_pool,soil_active,-10 to 14,single canonical observation year 2014,yes,"Implemented both as summary dict and as extra ObsBlock."
Barrow,US-A10,notebooks/sites/canonical.py:run_barrow_canonical,pool_delta14C,israd_bulk_layer_slow,ISRaD layer table (Vaughn 2018 + Nave 2021),"profiles A3C,A4C,B3C,C1C,H3C,TC,Z210C,Z415C,Z53C,BARR_1; lyr_14c",depth_bin_to_pool,soil_slow,14 to 30,single canonical observation year 2014,yes,"Implemented both as summary dict and as extra ObsBlock."
Barrow,US-A10,notebooks/sites/canonical.py:run_barrow_canonical,pool_delta14C,israd_bulk_layer_passive,ISRaD layer table (Vaughn 2018 + Nave 2021),"profiles A3C,A4C,B3C,C1C,H3C,TC,Z210C,Z415C,Z53C,BARR_1; lyr_14c",depth_bin_to_pool,soil_passive,30 to 200,single canonical observation year 2014,yes,"Implemented both as summary dict and as extra ObsBlock."
