biome,pathway,n_sites,dfs_total_mean,dfs_tau_mean,ur_tau_mean,ur_tau_active_mean,ur_tau_slow_mean,ur_tau_passive_mean
boreal forest,bulk_resp,1,0.7453972995291931,0.4358918219804764,0.07630534007932017,0.12598174538897045,0.03183170063267882,0.07110257421631128
boreal forest,combined,1,0.7453972995291931,0.4358918219804764,0.07630534007932017,0.12598174538897045,0.03183170063267882,0.07110257421631128
boreal wet forest/fire chronosequence,bulk_resp,1,1.2523323446527475,0.67185178399086,0.1200907501004534,0.06050227344457093,0.1427673687718377,0.1570026080849516
boreal wet forest/fire chronosequence,combined,1,1.2523323446527475,0.67185178399086,0.1200907501004534,0.06050227344457093,0.1427673687718377,0.1570026080849516
cool temperate Spodosol forest,combined,1,0.5006368421022954,0.22797955572605133,0.03879084050531978,0.05162387147776759,0.03385814931478781,0.030890500723403935
polar desert tundra Gelisol,combined,1,0.6894181314861769,0.44302431493997574,0.078508955003826,0.014772905057955366,0.06887505366079338,0.15187890629272927
temperate coniferous forest,bulk_resp,1,3.5956607461004966,2.0816107988357544,0.5113539633850842,0.8777107523621808,0.30895734099140326,0.3473937968016685
temperate coniferous forest,combined,1,2.3683821521783393,1.6357222851365805,0.45749793125338933,0.9815074681788317,0.38187050577067594,0.009115819810660453
temperate coniferous forest,fraction,1,1.4292296344680504,1.007526037050411,0.328283535651707,0.9809005959171047,0.002811748967562644,0.001138262070453644
temperate deciduous forest,bulk_resp,1,1.4926318042026705,1.068508330732584,0.250888471038572,0.6569780560428524,0.03017657284513975,0.06551078422772372
temperate deciduous forest,combined,2,1.5582620501524485,1.016159225255251,0.19662356746002857,0.33501070159018326,0.15148522676935638,0.10337477402054607
temperate deciduous forest,fraction,2,1.1119715850802652,0.7912497706711292,0.14999442192945303,0.30567746809793966,0.09921817301840774,0.04508762467201172
temperate forest,bulk_resp,2,1.3619858883332059,0.9290702678263187,0.1730986216015674,0.27436286249003866,0.0956586980574351,0.14927430425722843
temperate forest,combined,2,0.7071724273274572,0.5546574415639043,0.10177484192253494,0.19258593496925092,0.04425225244514308,0.06848633835321083
temperate forest,fraction,1,0.6290425658230567,0.48555920645594597,0.08797354756621896,0.20043662035330057,0.038526234969312734,0.024957787376043594
temperate mixed forest,combined,2,0.747606410645255,0.4321302054449916,0.07575976537786508,0.06254012467924625,0.10623311669262225,0.05850605476172677
temperate mixed forest,fraction,2,0.5605462021196785,0.2869106917642057,0.049365091608558474,0.05139817321617274,0.051209683784637305,0.04548741782486537
temperate peatland,bulk_resp,1,1.1405667737140996,0.9193650484085083,0.19680044715596004,0.507648222954514,0.028987726513048373,0.053765392000317824
temperate peatland,combined,1,0.9566166461457191,0.826351082418114,0.17671898438109354,0.4814790208640909,0.00247630116403752,0.046201631115152186
tropical Oxisol forest-pasture mosaic,combined,1,0.7822313681248899,0.4339507147669792,0.0757579458512813,0.029687910341113066,0.10867935712091026,0.08890657009182057
tropical moist forest,bulk_resp,3,1.3175179523744462,0.8018204929927985,0.14663133273817053,0.09408722494854387,0.1318478810593703,0.21395889220659745
tropical moist forest,combined,3,1.248871193579479,0.7588020525872707,0.13841771782277348,0.08183818915112458,0.1209394713970714,0.2124754929201245
tundra/permafrost,bulk_resp,1,2.459634035825958,1.4225237369537354,0.27783298726556027,0.23042522108160923,0.2325093947746384,0.3705643459404332
tundra/permafrost,combined,1,2.459634035825958,1.4225237369537354,0.27783298726556027,0.23042522108160923,0.2325093947746384,0.3705643459404332
warm mediterranean rangeland grassland,combined,1,0.6918046958750247,0.3837982378900051,0.06699308365285961,0.014440915625227424,0.10990235398212422,0.07663598135122718
warm semi-arid shrubland Mollisol,combined,1,0.7383567616345096,0.41586554050445557,0.0723045404111103,0.06647970576348239,0.10858587457389601,0.04184804089595251
warm semi-arid shrubland Vertisol,combined,1,0.6930583938959414,0.3957018703222275,0.06836173069421751,0.06140178790072748,0.0855471800454708,0.05813622413645425
wet montane tropical volcanic forest,combined,1,0.5441239308568888,0.22141527943313122,0.038140755250410496,0.006759451451444076,0.02565464698622144,0.08200816731356597
