site,biome,pathway,converged,n_obs,n_14c_blocks,dfs_total,dfs_tau,ur_tau_mean,ur_tau_active,ur_tau_slow,ur_tau_passive,J_final
CZ_Old_Black_Spruce,boreal forest,bulk_resp,True,5,2,0.7453972995291931,0.4358918219804764,0.07630534007932017,0.12598174538897045,0.03183170063267882,0.07110257421631128,25.84480094909668
CZ_Old_Black_Spruce,boreal forest,combined,True,5,2,0.7453972995291931,0.4358918219804764,0.07630534007932017,0.12598174538897045,0.03183170063267882,0.07110257421631128,25.84480094909668
CZ_1964burn_NSA,boreal wet forest/fire chronosequence,bulk_resp,True,6,2,1.2523323446527475,0.67185178399086,0.1200907501004534,0.06050227344457093,0.1427673687718377,0.1570026080849516,96.60152435302734
CZ_1964burn_NSA,boreal wet forest/fire chronosequence,combined,True,6,2,1.2523323446527475,0.67185178399086,0.1200907501004534,0.06050227344457093,0.1427673687718377,0.1570026080849516,96.60152435302734
Fichtelgeberge,cool temperate Spodosol forest,combined,True,11,9,0.5006368421022954,0.22797955572605133,0.03879084050531978,0.05162387147776759,0.03385814931478781,0.030890500723403935,24.411048889160156
Polar Desert,polar desert tundra Gelisol,combined,True,3,1,0.6894181314861769,0.44302431493997574,0.078508955003826,0.014772905057955366,0.06887505366079338,0.15187890629272927,39.924991607666016
Howland Forest,temperate coniferous forest,bulk_resp,True,43,22,3.5956607461004966,2.0816107988357544,0.5113539633850842,0.8777107523621808,0.30895734099140326,0.3473937968016685,4832.39599609375
Howland Forest,temperate coniferous forest,combined,True,52,31,2.3683821521783393,1.6357222851365805,0.45749793125338933,0.9815074681788317,0.38187050577067594,0.009115819810660453,4083.153076171875
Howland Forest,temperate coniferous forest,fraction,True,30,9,1.4292296344680504,1.007526037050411,0.328283535651707,0.9809005959171047,0.002811748967562644,0.001138262070453644,3841.90185546875
Harvard Forest,temperate deciduous forest,bulk_resp,True,52,34,1.4926318042026705,1.068508330732584,0.250888471038572,0.6569780560428524,0.03017657284513975,0.06551078422772372,120.0279541015625
Harvard Forest,temperate deciduous forest,combined,True,57,39,2.1146640479573304,1.346353828907013,0.264080695879828,0.38083908643781184,0.27076159784688025,0.14064140335479203,116.68607330322266
