site,site_id,param_index,param_name,param_group,log_tau[soil_active],log_tau[soil_slow],log_tau[soil_passive],log_f_transfer[soil_active→soil_active],log_f_transfer[soil_active→soil_slow],log_f_transfer[soil_active→soil_passive],log_f_transfer[soil_active→resp],log_f_transfer[soil_slow→soil_active],log_f_transfer[soil_slow→soil_slow],log_f_transfer[soil_slow→soil_passive],log_f_transfer[soil_slow→resp],log_f_transfer[soil_passive→soil_active],log_f_transfer[soil_passive→soil_slow],log_f_transfer[soil_passive→soil_passive],log_f_transfer[soil_passive→resp]
Eight-mile Lake,US-EML,0,log_tau[soil_active],turnover_times,0.05567514690301376,-0.07996924018299138,0.0283740823697815,1.7526298472812889e-09,-0.00012858690643520294,1.6568840727584293e-10,0.00012858489782595104,3.5425709904537245e-09,2.3122149183408277e-09,4.127497579481325e-06,-4.133352124753521e-06,-7.040128578493703e-10,-5.631518034959085e-10,-1.656311497963939e-11,1.2837280592364675e-09
Eight-mile Lake,US-EML,1,log_tau[soil_slow],turnover_times,-0.08011550631670197,0.118113568846943,-0.041946368554613755,-4.166117028357348e-10,0.00010317397718327552,-1.5267235366989218e-10,-0.00010317326090788554,-4.819972378989589e-09,-3.5244925715359708e-09,-6.283398759232151e-06,6.2917428609609355e-06,1.0646343085339279e-09,8.264257676162043e-10,2.4296321564842484e-11,-1.9153568079800737e-09
Eight-mile Lake,US-EML,2,log_tau[soil_passive],turnover_times,0.028425979415649602,-0.041946368554613755,0.014925139230465003,6.875133538509908e-11,2.8055508210301033e-05,-1.636091011670866e-11,-2.8055622970535938e-05,1.7151833154252714e-09,1.3332729747956355e-09,2.3496258127557465e-06,-2.352674135234103e-06,-3.787924307333816e-10,-2.8950923117324987e-10,-8.526126460664095e-12,6.768279327642183e-10
Eight-mile Lake,US-EML,3,log_f_transfer[soil_active→soil_active],transfer_fractions,2.8093366100458435e-12,-6.665786947554231e-13,1.1000213170142554e-13,2.5810623686513258e-18,-2.8923683459251793e-13,3.612482405757283e-19,2.892339368223275e-13,4.604470542698365e-19,-3.4472631483542164e-19,1.231285504726719e-17,-1.2428575264467404e-17,2.2849228151095552e-20,-2.2436617060711884e-20,-6.806211257592141e-23,-3.44534917868186e-22
Eight-mile Lake,US-EML,4,log_f_transfer[soil_active→soil_slow],transfer_fractions,-0.00012882209573557694,0.00010317397718327552,2.8055508210301033e-05,-1.8077302969699556e-10,0.00014745737625261826,-1.8415833726279128e-10,-0.00014745703435598814,3.903629252579109e-12,1.8307021487558875e-10,5.929768030238379e-09,-6.116741534628893e-09,-6.728246511787504e-13,9.795393109320585e-12,-1.444740642439799e-14,-9.108124202230233e-12
Eight-mile Lake,US-EML,5,log_f_transfer[soil_active→soil_passive],transfer_fractions,2.6558631826467195e-13,-2.4427575495794713e-13,-2.6177455017163773e-14,3.6124824057572826e-19,-2.946533264557902e-13,2.5823858642540377e-18,2.9465042902140676e-13,-3.3150731972078756e-20,-3.912829708624324e-19,2.4533090254448934e-14,-2.4532664838670776e-14,1.2355426477279917e-21,-1.965699722778014e-20,2.5621749438350307e-20,-7.200305165823093e-21
Eight-mile Lake,US-EML,6,log_f_transfer[soil_active→resp],transfer_fractions,2.0611212431524416e-07,-1.6507721007721064e-07,-4.488899474728342e-08,2.892339368223274e-13,-2.3593124442852107e-07,2.9465042902140666e-13,2.3593069739964797e-07,-6.246245462265e-15,-2.9291164853949636e-13,-9.512186730730136e-12,9.811344080168283e-12,1.0764978320031626e-15,-1.567258681735367e-14,2.3090355494899793e-17,1.4573003670671988e-14
Eight-mile Lake,US-EML,7,log_f_transfer[soil_slow→soil_active],transfer_fractions,5.678480480408435e-12,-7.711955461824551e-12,2.7442931820694624e-12,4.604470542698364e-19,6.245806525073155e-15,-3.3150731972078756e-20,-6.246245462265002e-15,4.0639988181687225e-19,2.4684627287390726e-19,1.1304151298873094e-16,-1.1369474735223503e-16,-6.446626131882417e-20,-5.316245013675363e-20,-1.900593164594046e-21,1.1952933263133846e-19
Eight-mile Lake,US-EML,8,log_f_transfer[soil_slow→soil_slow],transfer_fractions,3.706310280214293e-12,-5.639187862506961e-12,2.1332366643631492e-12,-3.4472631483542164e-19,2.929123307140512e-13,-3.9128297086243245e-19,-2.9291164853949646e-13,2.468462728739073e-19,5.4481158688082e-19,2.773853379296777e-17,-2.853018480762731e-17,-5.4071843567956445e-20,-2.112077076746082e-20,-1.5401516379757242e-21,7.673278011928601e-20
Eight-mile Lake,US-EML,9,log_f_transfer[soil_slow→soil_passive],transfer_fractions,4.135046896086923e-06,-6.283398759232151e-06,2.3496258127557448e-06,7.695534748367109e-15,5.929768030238379e-09,1.53331820940945e-11,-5.94511697232538e-09,7.065094877453684e-14,1.7336584395177796e-14,1.7034668939261694e-07,-1.7034677055393869e-07,-5.513287914999081e-14,-4.200710227671593e-14,1.7604389242013978e-13,-7.89040053077665e-14
