network,tower_id,tower_name,tower_lat,tower_lon,nearest_layer_site,nearest_layer_km,nearest_layer_obs,nearest_fraction_site,nearest_fraction_km,nearest_fraction_obs,nearest_flux_site,nearest_flux_km,nearest_flux_obs,nearest_incubation_site,nearest_incubation_km,nearest_incubation_obs,nearest_interstitial_site,nearest_interstitial_km,nearest_interstitial_obs,nearest_eligible_path,nearest_eligible_site,nearest_eligible_km,nearest_fraction_path_site,nearest_fraction_path_km,nearest_pool_resp_path_site,nearest_pool_resp_path_km,eligible_within_1km,eligible_within_25km
AmeriFlux,US-MOz,Missouri Ozark Site,38.7441,-92.2,MO Ozark BREA,0.0,34,MO Ozark BREA,0.0,30,Treynor,398.2427360299636,9,MO Ozark BREA,0.0,8,HarvardForest,1736.2143615385446,113,fraction|pool+respiration,MO Ozark BREA,0.0,MO Ozark BREA,0.0,MO Ozark BREA,0.0,True,True
AmeriFlux,US-UMB,Univ. of Mich. Biological Station,45.5598,-84.7138,MI-Coarse UMBS,0.0,48,MI-Coarse UMBS,0.0,30,Dinesen,950.9611827023183,7,MI-Coarse UMBS,0.0,13,Harvard Forest,1055.1430805536195,192,fraction|pool+respiration,MI-Coarse UMBS,0.0,MI-Coarse UMBS,0.0,MI-Coarse UMBS,0.0,True,True
AmeriFlux,US-WCr,Willow Creek,45.8059,-90.0799,Willow Creek,0.0,23,S1_Bog_MEF,319.4068433729252,27,Dinesen,617.6691460836561,7,Willow Creek,0.0,26,TH_Young_Jack_Pine,1259.2131844589733,8,pool+respiration,Willow Creek,0.0,S1_Bog_MEF,319.4068433729252,Willow Creek,0.0,True,True
AmeriFlux,US-EML,"Eight Mile Lake Permafrost thaw gradient, Healy Alaska.",63.8784,-149.2536,EML,0.0044009786779296385,9,EML,0.0044009786779296385,29,CiPEHR,0.0044009786779296385,89,CiPEHR,0.0044009786779296385,57,Ikpikpuk River,801.6335619791803,1,fraction|pool+respiration,EML,0.0044009786779296385,EML,0.0044009786779296385,EML,0.0044009786779296385,True,True
AmeriFlux,US-Ha1,Harvard Forest EMS Tower (HFR1),42.5378,-72.1715,MA Harvard Forest,0.011119492664034914,36,MA Harvard Forest,0.011119492664034914,30,Harvard Forest,0.7381252235854269,156,MA Harvard Forest,0.011119492664034914,7,Harvard Forest,0.7381252235854269,192,fraction|pool+respiration,MA Harvard Forest,0.011119492664034914,MA Harvard Forest,0.011119492664034914,MA Harvard Forest,0.011119492664034914,True,True
AmeriFlux,US-Bar,Bartlett Experimental Forest,44.0646,-71.2881,NH Bartlett Forest,0.013692435254616116,37,NH Bartlett Forest,0.013692435254616116,30,Harvard Forest,184.2486738421668,156,NH Bartlett Forest,0.013692435254616116,6,Harvard Forest,184.2486738421668,192,fraction|pool+respiration,NH Bartlett Forest,0.013692435254616116,NH Bartlett Forest,0.013692435254616116,NH Bartlett Forest,0.013692435254616116,True,True
AmeriFlux,CA-NS6,UCI-1989 burn site,55.9167,-98.9644,CZ_1989_Footprint_Fire,0.03340422536545279,4,TH_Old_Black_Spruce,30.268106098304106,16,CZ_Old_Black_Spruce,30.274180474059442,1,CZ_1989_Footprint_Fire,0.03340422536545279,3,TH_Old_Jack_Pine,21.25073312767297,8,pool+respiration,CZ_1989_Footprint_Fire,0.03340422536545279,TH_Old_Black_Spruce,30.268106098304106,CZ_1989_Footprint_Fire,0.03340422536545279,True,True
NEON,BART,Bartlett Experimental Forest NEON,44.063889,-71.287375,BART,0.0,7,NH Bartlett Forest,0.10308265795131626,30,Harvard Forest,184.19909505298475,156,NH Bartlett Forest,0.10308265795131626,6,Harvard Forest,184.19909505298475,192,fraction|pool+respiration,NH Bartlett Forest,0.10308265795131626,NH Bartlett Forest,0.10308265795131626,NH Bartlett Forest,0.10308265795131626,True,True
AmeriFlux,US-xBR,NEON Bartlett Experimental Forest (BART),44.0639,-71.2873,BART,0.0023630780218326128,2,NH Bartlett Forest,0.10507778129780308,30,Harvard Forest,184.2025971514971,156,NH Bartlett Forest,0.10507778129780308,6,Harvard Forest,184.2025971514971,192,fraction|pool+respiration,NH Bartlett Forest,0.10507778129780308,NH Bartlett Forest,0.10507778129780308,NH Bartlett Forest,0.10507778129780308,True,True
AmeriFlux,CA-NS2,UCI-1930 burn site,55.9058,-98.5247,CZ_1930burn,0.1120712293149001,15,TH_Old_Black_Spruce,4.061251422054727,16,CZ_Old_Black_Spruce,4.086065156586819,1,CZ_1930burn,0.1120712293149001,9,CZ_1930burn,0.1120712293149001,4,pool+respiration,CZ_1930burn,0.1120712293149001,TH_Old_Black_Spruce,4.061251422054727,CZ_1930burn,0.1120712293149001,True,True
