site,site_id,param_index,param_name,param_group,dfs_per_param,ak_diag,prior_sigma,posterior_sigma,uncertainty_reduction_fraction,uncertainty_reduction_percent,strongest_cross_parameter,strongest_cross_kernel_value
Harvard Forest,US-Ha1,0,log_tau[soil_active],turnover_times,0.4455130788970089,0.4455130788970089,0.5,0.3723193928232616,0.2553612143534768,25.53612143534768,log_tau[soil_passive],0.0174015090046201
Harvard Forest,US-Ha1,1,log_tau[soil_slow],turnover_times,0.053926487169550376,0.053926487169550376,0.4109589159488678,0.3997245745775874,0.02733689654923599,2.733689654923599,log_f_transfer[soil_active→soil_slow],0.038869021934296775
Harvard Forest,US-Ha1,2,log_tau[soil_passive],turnover_times,0.011306077057321234,0.011306077057321234,0.5,0.4971654460333002,0.005669107933399586,0.5669107933399586,log_tau[soil_active],0.0174015090046201
Harvard Forest,US-Ha1,3,log_f_transfer[soil_active→soil_active],transfer_fractions,8.651454439367356e-16,8.651454439367356e-16,0.019999999552965164,0.019999999552964755,2.042810365310288e-14,2.042810365310288e-12,log_tau[soil_active],7.679892354683714e-10
Harvard Forest,US-Ha1,4,log_f_transfer[soil_active→soil_slow],transfer_fractions,0.04239747742166193,0.04239747742166193,0.5,0.48928583735746883,0.021428325285062333,2.1428325285062333,log_tau[soil_slow],0.057536946097676185
Harvard Forest,US-Ha1,5,log_f_transfer[soil_active→soil_passive],transfer_fractions,3.088099052920743e-15,3.088099052920743e-15,0.019999999552965164,0.019999999552964734,2.1538326677728037e-14,2.1538326677728037e-12,log_tau[soil_slow],-1.9320915817132292e-10
Harvard Forest,US-Ha1,6,log_f_transfer[soil_active→resp],transfer_fractions,6.783576903625315e-05,6.783576903625315e-05,0.019999999552965164,0.019999321183784946,3.391845976907781e-05,0.0033918459769077813,log_tau[soil_slow],-9.20588929798998e-05
Harvard Forest,US-Ha1,7,log_f_transfer[soil_slow→soil_active],transfer_fractions,4.647091890398855e-17,4.647091890398855e-17,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_active],1.4287677681563005e-10
Harvard Forest,US-Ha1,8,log_f_transfer[soil_slow→soil_slow],transfer_fractions,1.1514700938667458e-16,1.1514700938667458e-16,0.019999999552965164,0.01999999955296476,2.0095036745715333e-14,2.0095036745715333e-12,log_tau[soil_slow],1.1878473798294024e-10
Harvard Forest,US-Ha1,9,log_f_transfer[soil_slow→soil_passive],transfer_fractions,0.001300116882558672,0.001300116882558672,0.5,0.4996748650603895,0.0006502698792210104,0.06502698792210104,log_tau[soil_passive],0.0014995752935523469
Harvard Forest,US-Ha1,10,log_f_transfer[soil_slow→resp],transfer_fractions,2.0801794611019132e-06,2.0801794611019132e-06,0.019999999552965164,0.0199999787511598,1.040090291448692e-06,0.0001040090291448692,log_tau[soil_passive],-2.399311547712181e-06
Harvard Forest,US-Ha1,11,log_f_transfer[soil_passive→soil_active],transfer_fractions,1.3238726315472932e-17,1.3238726315472932e-17,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_passive],-1.3871147453249579e-11
Harvard Forest,US-Ha1,12,log_f_transfer[soil_passive→soil_slow],transfer_fractions,2.405154429082338e-18,2.405154429082338e-18,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],1.2773228957095427e-11
Harvard Forest,US-Ha1,13,log_f_transfer[soil_passive→soil_passive],transfer_fractions,2.7520928908108456e-18,2.7520928908108456e-18,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],-2.4532467116296464e-12
Harvard Forest,US-Ha1,14,log_f_transfer[soil_passive→resp],transfer_fractions,2.5463509872345396e-17,2.5463509872345396e-17,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_passive],1.4390669704545162e-11
Barrow,US-A10,0,log_tau[soil_active],turnover_times,0.3561638383183898,0.3561638383183898,0.5,0.40119700948085163,0.19760598103829674,19.760598103829675,log_tau[soil_slow],-0.4128598864450906
Barrow,US-A10,1,log_tau[soil_slow],turnover_times,0.5080201686432888,0.5080201686432888,0.5,0.3507063698253897,0.29858726034922056,29.858726034922057,log_tau[soil_active],-0.4128598864450908
Barrow,US-A10,2,log_tau[soil_passive],turnover_times,0.001490275282865198,0.001490275282865198,0.5,0.499627292261985,0.0007454154760300202,0.07454154760300202,log_tau[soil_slow],0.02751151378706229
Barrow,US-A10,3,log_f_transfer[soil_active→soil_active],transfer_fractions,9.776576623445942e-17,9.776576623445942e-17,0.019999999552965164,0.01999999955296476,2.0095036745715333e-14,2.0095036745715333e-12,log_tau[soil_slow],2.2339238449829854e-10
Barrow,US-A10,4,log_f_transfer[soil_active→soil_slow],transfer_fractions,3.398078819235779e-05,3.398078819235779e-05,0.5,0.49999150472453235,1.6990550935291893e-05,0.0016990550935291893,log_tau[soil_slow],0.00415483048484999
Barrow,US-A10,5,log_f_transfer[soil_active→soil_passive],transfer_fractions,1.2507192494690905e-17,1.2507192494690905e-17,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],-8.149020425430284e-12
Barrow,US-A10,6,log_f_transfer[soil_active→resp],transfer_fractions,5.437269932400487e-08,5.437269932400487e-08,0.019999999552965164,0.019999999009237778,2.718636993304102e-08,2.718636993304102e-06,log_tau[soil_slow],-6.647938394290523e-06
Barrow,US-A10,7,log_f_transfer[soil_slow→soil_active],transfer_fractions,9.93712733030413e-18,9.93712733030413e-18,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],-8.373485596988393e-11
Barrow,US-A10,8,log_f_transfer[soil_slow→soil_slow],transfer_fractions,3.2708137630283235e-19,3.2708137630283235e-19,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],-1.6265579570805113e-11
Barrow,US-A10,9,log_f_transfer[soil_slow→soil_passive],transfer_fractions,9.141536980390137e-07,9.141536980390137e-07,0.5,0.4999997714552733,4.57089453398396e-07,4.57089453398396e-05,log_tau[soil_slow],-1.1179721483719169e-05
Barrow,US-A10,10,log_f_transfer[soil_slow→resp],transfer_fractions,1.462645103189952e-09,1.462645103189952e-09,0.019999999552965164,0.019999999538338316,7.313424310595451e-10,7.313424310595451e-08,log_tau[soil_slow],1.798756979249877e-08
Barrow,US-A10,11,log_f_transfer[soil_passive→soil_active],transfer_fractions,1.3072746051701776e-20,1.3072746051701776e-20,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],3.050951418825226e-12
Barrow,US-A10,12,log_f_transfer[soil_passive→soil_slow],transfer_fractions,4.048467798876978e-22,4.048467798876978e-22,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],5.736463591843635e-13
Barrow,US-A10,13,log_f_transfer[soil_passive→soil_passive],transfer_fractions,5.450498527595962e-22,5.450498527595962e-22,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],1.02491883418226e-14
Barrow,US-A10,14,log_f_transfer[soil_passive→resp],transfer_fractions,1.8429937610122225e-20,1.8429937610122225e-20,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_slow],-3.634846836636998e-12
Eight-mile Lake,US-EML,0,log_tau[soil_active],turnover_times,0.05567514690301376,0.05567514690301376,0.49954336881637573,0.48543815465625495,0.028236215393153685,2.8236215393153685,log_tau[soil_slow],-0.07996924018299138
Eight-mile Lake,US-EML,1,log_tau[soil_slow],turnover_times,0.118113568846943,0.118113568846943,0.5,0.46954404243132764,0.06091191513734473,6.091191513734473,log_tau[soil_active],-0.08011550631670197
Eight-mile Lake,US-EML,2,log_tau[soil_passive],turnover_times,0.014925139230465003,0.014925139230465003,0.5,0.49625468782292326,0.007490624354153486,0.7490624354153486,log_tau[soil_slow],-0.041946368554613755
Eight-mile Lake,US-EML,3,log_f_transfer[soil_active→soil_active],transfer_fractions,2.5810623686513258e-18,2.5810623686513258e-18,0.019999999552965164,0.019999999552964765,1.9984014443252818e-14,1.9984014443252818e-12,log_tau[soil_active],2.8093366100458435e-12
