site,site_id,param_index_subset,param_name,param_label_short,obs_index,obs_block_name,obs_family,obs_label_short,obs_label_full,y_obs,y_prior,y_opt,obs_sigma,obs_variance,gain_value,abs_gain_value,rank_within_param_by_abs_gain
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,0,resp_14C,resp_delta14C,resp[1],resp_14C[1],136.4397430419922,401.5320739746094,139.88217163085938,15.0,225.0,-0.000222410484441931,0.000222410484441931,1
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,1,resp_14C,resp_delta14C,resp[2],resp_14C[2],137.98480224609375,379.51458740234375,135.53135681152344,15.0,225.0,-0.00019290525466351003,0.00019290525466351003,2
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,2,resp_14C,resp_delta14C,resp[3],resp_14C[3],111.25503540039062,356.6755676269531,130.28033447265625,15.0,225.0,-0.00015648991887023202,0.00015648991887023202,4
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,3,resp_14C,resp_delta14C,resp[4],resp_14C[4],122.13999938964844,357.9119873046875,128.779541015625,15.0,225.0,-0.00014288941353705648,0.00014288941353705648,5
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,4,resp_14C,resp_delta14C,resp[5],resp_14C[5],116.20269775390625,361.8148498535156,127.8724594116211,15.0,225.0,-0.00013341849173708557,0.00013341849173708557,6
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,5,resp_14C,resp_delta14C,resp[6],resp_14C[6],133.4375,364.6566467285156,126.0113296508789,15.0,225.0,-0.00011666433369263186,0.00011666433369263186,7
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,6,resp_14C,resp_delta14C,resp[7],resp_14C[7],140.80340576171875,325.9229736328125,120.10479736328125,15.0,225.0,-8.595733515726169e-05,8.595733515726169e-05,9
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,7,resp_14C,resp_delta14C,resp[8],resp_14C[8],154.47369384765625,319.8359375,118.4300308227539,15.0,225.0,-7.529733655872675e-05,7.529733655872675e-05,10
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,8,resp_14C,resp_delta14C,resp[9],resp_14C[9],102.98429870605469,328.4015197753906,116.58540344238281,15.0,225.0,-5.7511566797769376e-05,5.7511566797769376e-05,18
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,9,resp_14C,resp_delta14C,resp[10],resp_14C[10],104.1613998413086,324.26251220703125,115.2850570678711,15.0,225.0,-4.996874972837149e-05,4.996874972837149e-05,25
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,10,resp_14C,resp_delta14C,resp[11],resp_14C[11],122.69345092773438,316.0093078613281,113.92848205566406,15.0,225.0,-4.417383777670338e-05,4.417383777670338e-05,26
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,11,resp_14C,resp_delta14C,resp[12],resp_14C[12],127.38351440429688,305.64947509765625,112.1668472290039,15.0,225.0,-3.67397281708151e-05,3.67397281708151e-05,27
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,12,resp_14C,resp_delta14C,resp[13],resp_14C[13],113.92005157470703,301.0716857910156,111.2138900756836,15.0,225.0,-3.236736183325347e-05,3.236736183325347e-05,28
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,13,resp_14C,resp_delta14C,resp[14],resp_14C[14],109.93000030517578,299.8355407714844,110.24927520751953,15.0,225.0,-2.6419382836072152e-05,2.6419382836072152e-05,31
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,14,resp_14C,resp_delta14C,resp[15],resp_14C[15],106.99749755859375,300.1088562011719,110.18736267089844,15.0,225.0,-2.5871297314200613e-05,2.5871297314200613e-05,33
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,15,resp_14C,resp_delta14C,resp[16],resp_14C[16],122.77144622802734,307.1606750488281,108.77448272705078,15.0,225.0,-1.3225266625496232e-05,1.3225266625496232e-05,36
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,16,resp_14C,resp_delta14C,resp[17],resp_14C[17],120.05235290527344,307.1628112792969,108.76177978515625,15.0,225.0,-1.3145716403736793e-05,1.3145716403736793e-05,37
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,17,resp_14C,resp_delta14C,resp[18],resp_14C[18],107.79945373535156,307.18109130859375,108.75013732910156,15.0,225.0,-1.3063472906655879e-05,1.3063472906655879e-05,38
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,18,resp_14C,resp_delta14C,resp[19],resp_14C[19],119.70320129394531,307.3861389160156,108.13028717041016,15.0,225.0,-9.129940527057523e-06,9.129940527057523e-06,40
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,19,resp_14C,resp_delta14C,resp[20],resp_14C[20],114.34712982177734,302.12091064453125,107.26660919189453,15.0,225.0,-6.650196127333577e-06,6.650196127333577e-06,42
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,20,resp_14C,resp_delta14C,resp[21],resp_14C[21],104.18087005615234,291.1162109375,105.6877212524414,15.0,225.0,-2.933947809690543e-06,2.933947809690543e-06,45
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,21,resp_14C,resp_delta14C,resp[22],resp_14C[22],100.25813293457031,282.7997741699219,104.24925994873047,15.0,225.0,1.2511897536465184e-06,1.2511897536465184e-06,47
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,22,resp_14C,resp_delta14C,resp[23],resp_14C[23],99.98873901367188,277.275390625,103.07030487060547,15.0,225.0,5.24068476888498e-06,5.24068476888498e-06,44
Harvard Forest,US-Ha1,0,log_tau[soil_active],$\tau_{\mathrm{active}}$,23,resp_14C,resp_delta14C,resp[24],resp_14C[24],104.9538345336914,283.1192626953125,100.32575225830078,15.0,225.0,2.325581156167982e-05,2.325581156167982e-05,35
