site,site_id,obs_index,plot_label_short,obs_label_full,obs_block_name,obs_family,pool_name,sampling_date,sampling_year_decimal,measurement_year,model_eval_date,sampling_time_index,physical_meaning,units,y_obs,y_prior,y_opt,obs_sigma,obs_variance
Harvard Forest,US-Ha1,0,resp[1],resp_14C[1],resp_14C,resp_delta14C,flux-weighted (all pools),1996-05-16,1996.371,1996,1996-05-16,135,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),136.4397430419922,401.5320739746094,139.88217163085938,15.0,225.0
Harvard Forest,US-Ha1,1,resp[2],resp_14C[2],resp_14C,resp_delta14C,flux-weighted (all pools),1996-07-12,1996.527,1996,1996-07-12,192,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),137.98480224609375,379.51458740234375,135.53135681152344,15.0,225.0
Harvard Forest,US-Ha1,2,resp[3],resp_14C[3],resp_14C,resp_delta14C,flux-weighted (all pools),1996-09-29,1996.743,1996,1996-09-29,271,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),111.25503540039062,356.6755676269531,130.28033447265625,15.0,225.0
Harvard Forest,US-Ha1,3,resp[4],resp_14C[4],resp_14C,resp_delta14C,flux-weighted (all pools),1996-12-02,1996.919,1996,1996-12-02,335,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),122.13999938964844,357.9119873046875,128.779541015625,15.0,225.0
Harvard Forest,US-Ha1,4,resp[5],resp_14C[5],resp_14C,resp_delta14C,flux-weighted (all pools),1997-02-06,1997.099,1997,1997-02-06,401,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),116.20269775390625,361.8148498535156,127.8724594116211,15.0,225.0
Harvard Forest,US-Ha1,5,resp[6],resp_14C[6],resp_14C,resp_delta14C,flux-weighted (all pools),1997-05-24,1997.392,1997,1997-05-24,508,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),133.4375,364.6566467285156,126.0113296508789,15.0,225.0
Harvard Forest,US-Ha1,6,resp[7],resp_14C[7],resp_14C,resp_delta14C,flux-weighted (all pools),1997-09-05,1997.677,1997,1997-09-05,612,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),140.80340576171875,325.9229736328125,120.10479736328125,15.0,225.0
Harvard Forest,US-Ha1,7,resp[8],resp_14C[8],resp_14C,resp_delta14C,flux-weighted (all pools),1997-11-02,1997.836,1997,1997-11-02,670,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),154.47369384765625,319.8359375,118.4300308227539,15.0,225.0
Harvard Forest,US-Ha1,8,resp[9],resp_14C[9],resp_14C,resp_delta14C,flux-weighted (all pools),1998-04-13,1998.279,1998,1998-04-13,832,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),102.98429870605469,328.4015197753906,116.58540344238281,15.0,225.0
Harvard Forest,US-Ha1,9,resp[10],resp_14C[10],resp_14C,resp_delta14C,flux-weighted (all pools),1998-06-03,1998.419,1998,1998-06-03,883,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),104.1613998413086,324.26251220703125,115.2850570678711,15.0,225.0
Harvard Forest,US-Ha1,10,resp[11],resp_14C[11],resp_14C,resp_delta14C,flux-weighted (all pools),1998-07-05,1998.507,1998,1998-07-05,915,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),122.69345092773438,316.0093078613281,113.92848205566406,15.0,225.0
Harvard Forest,US-Ha1,11,resp[12],resp_14C[12],resp_14C,resp_delta14C,flux-weighted (all pools),1998-08-14,1998.616,1998,1998-08-14,955,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),127.38351440429688,305.64947509765625,112.1668472290039,15.0,225.0
Harvard Forest,US-Ha1,12,resp[13],resp_14C[13],resp_14C,resp_delta14C,flux-weighted (all pools),1998-09-09,1998.687,1998,1998-09-09,981,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),113.92005157470703,301.0716857910156,111.2138900756836,15.0,225.0
Harvard Forest,US-Ha1,13,resp[14],resp_14C[14],resp_14C,resp_delta14C,flux-weighted (all pools),1998-10-24,1998.81,1998,1998-10-24,1026,"Respired CO₂ Δ¹⁴C, flux-weighted (C/τ) mean across all soil pools, at this sampling date",per mil (‰),109.93000030517578,299.8355407714844,110.24927520751953,15.0,225.0
