site,site_id,param_index,param_name,param_group,log_tau[soil_active],log_tau[soil_slow],log_tau[soil_passive],log_f_transfer[soil_active→soil_active],log_f_transfer[soil_active→soil_slow],log_f_transfer[soil_active→soil_passive],log_f_transfer[soil_active→resp],log_f_transfer[soil_slow→soil_active],log_f_transfer[soil_slow→soil_slow],log_f_transfer[soil_slow→soil_passive],log_f_transfer[soil_slow→resp],log_f_transfer[soil_passive→soil_active],log_f_transfer[soil_passive→soil_slow],log_f_transfer[soil_passive→soil_passive],log_f_transfer[soil_passive→resp]
Harvard Forest,US-Ha1,0,log_tau[soil_active],turnover_times,0.4455130788970089,0.0015810336754756168,0.0174015090046201,4.799932936131234e-07,0.00010448499105321204,3.0601515927061626e-09,-0.00010495638483311179,8.929798949947108e-08,-8.352542723179257e-09,-3.457440718972782e-05,3.449343321913782e-05,-3.6169909007863777e-09,-4.607483610874253e-09,-4.6220500928494827e-10,8.686671358853237e-09
Harvard Forest,US-Ha1,1,log_tau[soil_slow],turnover_times,0.0010680655957408481,0.053926487169550376,0.0033279109688185093,8.019083089355154e-09,0.038869021934296775,-8.157640276962556e-08,-0.03886893045512378,9.473333814866764e-09,5.015306582925229e-08,-0.000812044117504325,0.00081198463183015,-2.5672594752641563e-09,5.393088401889836e-09,-1.035805154037793e-09,-1.7900273562264146e-09
Harvard Forest,US-Ha1,2,log_tau[soil_passive],turnover_times,0.0174015090046201,0.004926232369686206,0.011306077057321234,3.324244299888828e-08,0.004327686031326743,5.369567751044351e-08,-0.004327765156169316,-5.169985001126083e-09,-6.342956569446786e-10,0.0014995752935523467,-0.0014995697843186763,-8.669467545619992e-09,-1.8147477668242563e-09,1.490038021438321e-09,8.994168967186913e-09
Harvard Forest,US-Ha1,3,log_f_transfer[soil_active→soil_active],transfer_fractions,7.679892354683714e-10,1.8992750849478434e-11,5.318790642186407e-11,8.651454439367356e-16,1.0831472134159882e-11,-2.1582449346732865e-18,-1.0832295499869099e-11,1.3553191136978627e-16,-1.168230486994556e-17,-3.9289657687815523e-14,3.916570837072695e-14,-2.84522561631348e-17,-1.2298428278623323e-17,-1.3346464617121537e-18,4.2085293078212943e-17
Harvard Forest,US-Ha1,4,log_f_transfer[soil_active→soil_slow],transfer_fractions,0.0001044849910532118,0.057536946097676185,0.004327686031326741,6.769670386308798e-09,0.04239747742166193,-4.770101299422976e-08,-0.04239741748054229,9.391004953011234e-09,5.376770658157247e-08,0.00020432252821424039,-0.00020438573271905886,-2.2904733636892073e-09,6.029922502638212e-09,1.3550655798181412e-10,-3.874958237686279e-09
Harvard Forest,US-Ha1,5,log_f_transfer[soil_active→soil_passive],transfer_fractions,4.896242329572977e-12,-1.9320915817132292e-10,8.591308017823992e-11,-2.1582449346732854e-18,-7.632161738083033e-11,3.088099052920743e-15,7.631848690022158e-11,-1.0628432213687106e-16,-1.8586745106691516e-16,7.861589352710369e-11,-7.861561582017097e-11,1.351912891010632e-18,-1.1627835134262871e-17,9.039301953698948e-17,-8.011703674840952e-17
Harvard Forest,US-Ha1,6,log_f_transfer[soil_active→resp],transfer_fractions,-1.679302082301055e-07,-9.20588929798998e-05,-6.924423940497859e-06,-1.08322954998691e-11,-6.78358649380613e-05,7.63184869002216e-11,6.783576903625315e-05,-1.5025634172722655e-11,-8.602809497438881e-11,-3.26994798752275e-07,3.270959257652272e-07,3.664773670494493e-12,-9.6478499159292e-12,-2.1690006967769114e-13,6.199980380286364e-12
Harvard Forest,US-Ha1,7,log_f_transfer[soil_slow→soil_active],transfer_fractions,1.4287677681563005e-10,2.2437062548777244e-11,-8.271975632222059e-12,1.355319113697863e-16,1.5025607253496002e-11,-1.0628432213687106e-16,-1.5025634172722655e-11,4.647091890398855e-17,2.511168316862146e-17,-2.230850128537405e-12,2.230778967750236e-12,1.0492744120522711e-17,4.035192058839572e-18,-2.423718616484831e-18,-1.2104209491080978e-17
Harvard Forest,US-Ha1,8,log_f_transfer[soil_slow→soil_slow],transfer_fractions,-1.3364067759999974e-11,1.1878473798294024e-10,-1.0148730057684565e-12,-1.1682304869945557e-17,8.602832668689719e-11,-1.858674510669151e-16,-8.602809497438877e-11,2.5111683168621452e-17,1.1514700938667458e-16,-1.8807460918671015e-12,1.8806061767133647e-12,1.942135840849637e-18,1.4133334420189868e-17,-2.187694973558145e-18,-1.388777499464124e-17
Harvard Forest,US-Ha1,9,log_f_transfer[soil_slow→soil_passive],transfer_fractions,-3.45744071897278e-05,-0.0012020507924475178,0.0014995752935523469,-2.455603715201216e-11,0.0002043225282142404,4.913493564971617e-08,-0.00020437175835120015,-1.3942813926303114e-09,-1.1754663599350394e-09,0.001300116882558672,-0.0013001145518514868,9.214970134110736e-13,3.292406531015056e-11,1.4929737231561495e-09,-1.5268183145549515e-09
Harvard Forest,US-Ha1,10,log_f_transfer[soil_slow→resp],transfer_fractions,5.518949068483544e-08,1.923140293486551e-06,-2.399311547712181e-06,3.916570837072693e-14,-3.2701715773984996e-07,-7.861561582017096e-11,3.2709592576522714e-07,2.230778967750235e-12,1.880606176713365e-12,-2.080183190022862e-06,2.0801794611019132e-06,-1.4868022805615974e-15,-5.269667436051911e-14,-2.388753677359716e-12,2.4429356005126302e-12
Harvard Forest,US-Ha1,11,log_f_transfer[soil_passive→soil_active],transfer_fractions,-5.787185182695309e-12,-6.080410819583591e-12,-1.3871147453249579e-11,-2.8452256163134815e-17,-3.664757218166786e-12,1.3519128910106317e-18,3.664773670494494e-12,1.049274412052271e-17,1.9421358408496377e-18,1.4743951555839142e-15,-1.4868022805615919e-15,1.3238726315472932e-17,3.0637342847700227e-18,3.3775145365429854e-19,-1.6640197848717756e-17
Harvard Forest,US-Ha1,12,log_f_transfer[soil_passive→soil_slow],transfer_fractions,-7.371973448029909e-12,1.2773228957095427e-11,-2.903596297190411e-12,-1.2298428278623326e-17,9.647875573168292e-12,-1.1627835134262874e-17,-9.6478499159292e-12,4.0351920588395726e-18,1.4133334420189874e-17,5.267850214264313e-14,-5.2696674360519125e-14,3.0637342847700235e-18,2.405154429082338e-18,1.323020581234071e-19,-5.601187449033974e-18
Harvard Forest,US-Ha1,13,log_f_transfer[soil_passive→soil_passive],transfer_fractions,-7.39527981814898e-13,-2.4532467116296464e-12,2.384060727784997e-12,-1.3346464617121541e-18,2.1681048308412997e-13,9.039301953698949e-17,-2.1690006967769111e-13,-2.4237186164848305e-18,-2.187694973558146e-18,2.3887578503236623e-12,-2.3887536773597165e-12,3.3775145365429854e-19,1.3230205812340708e-19,2.7520928908108456e-18,-3.2221442526435206e-18
