config,n_pools,param,ak_diag,dfs_from_families
configs/hf_pool_sweep/harvard_forest_1pool.yaml,1,log_tau[soil_active],0.8985049419081744,0.8985049419081744
configs/hf_pool_sweep/harvard_forest_1pool.yaml,1,log_f_transfer[soil_active→soil_active],6.193486851492853e-14,6.193486851492853e-14
configs/hf_pool_sweep/harvard_forest_2pool.yaml,2,log_tau[soil_active],0.875232615206728,0.875232615206728
configs/hf_pool_sweep/harvard_forest_2pool.yaml,2,log_tau[soil_slow],0.19710758553700172,0.19710758553700172
configs/hf_pool_sweep/harvard_forest_2pool.yaml,2,log_f_transfer[soil_active→soil_active],9.670832802046028e-14,9.670832802046028e-14
configs/hf_pool_sweep/harvard_forest_2pool.yaml,2,log_f_transfer[soil_active→soil_slow],0.4027018369098191,0.4027018369098191
configs/hf_pool_sweep/harvard_forest_2pool.yaml,2,log_f_transfer[soil_slow→soil_active],7.959872425950511e-16,7.959872425950511e-16
configs/hf_pool_sweep/harvard_forest_2pool.yaml,2,log_f_transfer[soil_slow→soil_slow],3.024937756131057e-15,3.024937756131057e-15
configs/hf_pool_sweep/harvard_forest_3pool.yaml,3,log_tau[soil_active],0.8821980558708367,0.8821980558708367
configs/hf_pool_sweep/harvard_forest_3pool.yaml,3,log_tau[soil_slow],0.055328633882730675,0.055328633882730675
configs/hf_pool_sweep/harvard_forest_3pool.yaml,3,log_tau[soil_passive],0.12536206470124625,0.12536206470124625
configs/hf_pool_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_active→soil_active],9.179365134824427e-14,9.179365134824427e-14
configs/hf_pool_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_active→soil_slow],0.36963840910481616,0.36963840910481616
configs/hf_pool_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_active→soil_passive],4.840437394861469e-12,4.840437394861469e-12
configs/hf_pool_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_slow→soil_active],9.273577966476085e-16,9.273577966476085e-16
configs/hf_pool_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_slow→soil_slow],1.9215425283793914e-15,1.9215425283793914e-15
configs/hf_pool_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_slow→soil_passive],0.09128234248892303,0.09128234248892303
configs/hf_pool_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_passive→soil_active],6.7547887124470256e-18,6.7547887124470256e-18
configs/hf_pool_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_passive→soil_slow],1.7389206121668822e-17,1.7389206121668822e-17
configs/hf_pool_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_passive→soil_passive],3.185647989310768e-17,3.185647989310768e-17
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_tau[soil_active],0.8825659496703628,0.8825659496703628
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_tau[soil_slow],0.06658342595478817,0.06658342595478817
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_tau[soil_passive],0.06249298100954387,0.06249298100954387
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_tau[soil_stable],0.00711313584550554,0.00711313584550554
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_active→soil_active],9.056009626171637e-14,9.056009626171637e-14
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_active→soil_slow],0.3741018564822994,0.3741018564822994
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_active→soil_passive],3.484919544659073e-12,3.484919544659073e-12
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_active→soil_stable],3.5745786768563607e-10,3.5745786768563607e-10
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_slow→soil_active],9.295363892617344e-16,9.295363892617344e-16
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_slow→soil_slow],1.9430267943422234e-15,1.9430267943422234e-15
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_slow→soil_passive],0.07875217129959942,0.07875217129959942
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_slow→soil_stable],3.0500420702673227e-12,3.0500420702673227e-12
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_passive→soil_active],1.2263487217117284e-17,1.2263487217117284e-17
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_passive→soil_slow],2.0123557751488328e-17,2.0123557751488328e-17
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_passive→soil_passive],3.1937578240597316e-17,3.1937578240597316e-17
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_passive→soil_stable],0.006565381190347673,0.006565381190347673
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_stable→soil_active],6.548162735209111e-21,6.548162735209111e-21
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_stable→soil_slow],1.657941130388024e-20,1.657941130388024e-20
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_stable→soil_passive],2.895641667427353e-20,2.895641667427353e-20
configs/hf_pool_sweep/harvard_forest_4pool.yaml,4,log_f_transfer[soil_stable→soil_stable],3.321432175757374e-20,3.321432175757374e-20
configs/hf_pool_sweep/harvard_forest_7pool.yaml,7,log_tau[organic_Oi],0.3803557927750495,0.3803557927750495
configs/hf_pool_sweep/harvard_forest_7pool.yaml,7,log_tau[organic_Oe_a_L],0.43816741118077934,0.43816741118077934
configs/hf_pool_sweep/harvard_forest_7pool.yaml,7,log_tau[organic_Oe_a_H],0.04379197881593927,0.04379197881593927
configs/hf_pool_sweep/harvard_forest_7pool.yaml,7,log_tau[mineral_ALF_gt80],1.912053068540916e-05,1.912053068540916e-05
configs/hf_pool_sweep/harvard_forest_7pool.yaml,7,log_tau[mineral_ALF_lt80],0.006519916717955654,0.006519916717955654
configs/hf_pool_sweep/harvard_forest_7pool.yaml,7,log_tau[mineral_MinAss],0.00015015058036172945,0.00015015058036172945
configs/hf_pool_sweep/harvard_forest_7pool.yaml,7,log_tau[deep_MinAss_slow],9.482637254041102e-07,9.482637254041102e-07
configs/hf_pool_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[organic_Oi→organic_Oi],2.1840206909143777e-14,2.1840206909143777e-14
configs/hf_pool_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[organic_Oi→organic_Oe_a_L],0.11063902524059105,0.11063902524059105
configs/hf_pool_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[organic_Oi→organic_Oe_a_H],6.413431785721542e-12,6.413431785721542e-12
