config,n_pools,param,ak_diag,dfs_from_families
configs/harvard_sierra_sweep/harvard_forest_3pool.yaml,3,log_tau[soil_active],0.7026440392492626,0.7026440392492626
configs/harvard_sierra_sweep/harvard_forest_3pool.yaml,3,log_tau[soil_slow],0.4785214729438968,0.4785214729438968
configs/harvard_sierra_sweep/harvard_forest_3pool.yaml,3,log_tau[soil_passive],0.4050778696874502,0.4050778696874502
configs/harvard_sierra_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_active→soil_active],3.525845505616418e-14,3.525845505616418e-14
configs/harvard_sierra_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_active→soil_slow],0.7692848135431926,0.7692848135431926
configs/harvard_sierra_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_active→soil_passive],1.2912411456342864e-12,1.2912411456342864e-12
configs/harvard_sierra_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_slow→soil_active],1.00308071503379e-14,1.00308071503379e-14
configs/harvard_sierra_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_slow→soil_slow],3.804973133809002e-14,3.804973133809002e-14
configs/harvard_sierra_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_slow→soil_passive],0.5112755296314385,0.5112755296314385
configs/harvard_sierra_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_passive→soil_active],9.260536819002464e-17,9.260536819002464e-17
configs/harvard_sierra_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_passive→soil_slow],4.369935562972206e-16,4.369935562972206e-16
configs/harvard_sierra_sweep/harvard_forest_3pool.yaml,3,log_f_transfer[soil_passive→soil_passive],4.981829783755105e-16,4.981829783755105e-16
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_tau[soil_Oi],0.46066475673409524,0.46066475673409524
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_tau[soil_Oe_a_L],0.78718540479913,0.78718540479913
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_tau[soil_Oe_a_H],0.25797004539560886,0.25797004539560886
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_tau[soil_ALF_gt80],9.27842829394139e-06,9.27842829394139e-06
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_tau[soil_ALF_lt80],0.0019277228014286988,0.0019277228014286988
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_tau[soil_MinAss],4.426030461409648e-05,4.426030461409648e-05
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_tau[soil_MinAss_slow],1.6627369363126694e-06,1.6627369363126694e-06
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[soil_Oi→soil_Oi],5.738626720224871e-15,5.738626720224871e-15
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[soil_Oi→soil_Oe_a_L],0.16669704007492683,0.16669704007492683
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[soil_Oi→soil_Oe_a_H],1.3547723382410806e-12,1.3547723382410806e-12
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[soil_Oi→soil_ALF_gt80],4.570637125028847e-13,4.570637125028847e-13
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[soil_Oi→soil_ALF_lt80],6.694629766714951e-13,6.694629766714951e-13
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[soil_Oi→soil_MinAss],1.0379101760000162e-12,1.0379101760000162e-12
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[soil_Oi→soil_MinAss_slow],5.441218524759627e-12,5.441218524759627e-12
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[soil_Oe_a_L→soil_Oi],1.3279353490607062e-14,1.3279353490607062e-14
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[soil_Oe_a_L→soil_Oe_a_L],1.0972649627758935e-14,1.0972649627758935e-14
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[soil_Oe_a_L→soil_Oe_a_H],0.608408349515557,0.608408349515557
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[soil_Oe_a_L→soil_ALF_gt80],1.010817112704454e-12,1.010817112704454e-12
configs/harvard_sierra_sweep/harvard_forest_7pool.yaml,7,log_f_transfer[soil_Oe_a_L→soil_ALF_lt80],1.4649960991702572e-12,1.4649960991702572e-12
