site,site_id,param_index,param_name,param_group,log_tau[soil_active],log_tau[soil_slow],log_tau[soil_passive],log_f_transfer[soil_active→soil_active],log_f_transfer[soil_active→soil_slow],log_f_transfer[soil_active→soil_passive],log_f_transfer[soil_active→resp],log_f_transfer[soil_slow→soil_active],log_f_transfer[soil_slow→soil_slow],log_f_transfer[soil_slow→soil_passive],log_f_transfer[soil_slow→resp],log_f_transfer[soil_passive→soil_active],log_f_transfer[soil_passive→soil_slow],log_f_transfer[soil_passive→soil_passive],log_f_transfer[soil_passive→resp]
Howland Forest,US-Ho1,0,log_tau[soil_active],turnover_times,0.32041169988501156,0.006434698233845098,0.005334472541877197,4.0479132892905497e-07,-0.08710016349777479,1.0534400560752018e-07,0.0870996176834604,-4.0500205100846295e-08,-1.550634573691442e-08,-0.00012436237326071906,0.0001244182663114366,-1.0843187841628081e-08,1.8348855997596626e-09,-1.3390784587777772e-10,9.142208614887114e-09
Howland Forest,US-Ho1,1,log_tau[soil_slow],turnover_times,0.006434698233845101,0.13539731167794863,0.012557228796599153,8.696713186232875e-08,0.023219177285322228,-6.895988621424671e-08,-0.0232192395356423,-2.1163650834446475e-08,7.542514828487028e-08,-0.0005565445913943153,0.0005564901211730055,-5.5422279220721185e-09,1.4439500874220764e-08,-6.459275110550322e-10,-8.251312608216598e-09
Howland Forest,US-Ho1,2,log_tau[soil_passive],turnover_times,0.005334472541877199,0.012557228796599157,0.005125765439119979,3.403711633301686e-08,0.0022477554074278663,2.348886261204583e-08,-0.0022478160286045767,-9.717781554951712e-09,-6.41379590103596e-09,0.00042420138360140083,-0.0004241853732500561,-2.243041833992206e-09,-1.4031321572248188e-09,5.011070404965877e-10,3.1450685131042496e-09
Howland Forest,US-Ho1,3,log_f_transfer[soil_active→soil_active],transfer_fractions,6.476660973497223e-10,1.3914740476282514e-10,5.445938369966203e-11,1.0860366478105696e-15,-1.4027330007337197e-10,1.914015899866469e-16,1.4027192337629284e-10,-1.654745781031959e-16,-8.797083645323606e-17,-6.823084214007399e-13,6.825614965005103e-13,-4.215108878946796e-17,-1.0615303792381484e-17,-1.0718481492281944e-18,5.3838267654260426e-17
Howland Forest,US-Ho1,4,log_f_transfer[soil_active→soil_slow],transfer_fractions,-0.08710016349777482,0.023219177285322225,0.002247755407427866,-8.76708164628601e-08,0.19218640234973722,-2.3123797386576178e-07,-0.19218601662514287,-8.354634034837196e-09,1.3076693069555808e-08,9.882054509610979e-05,-9.882511192634279e-05,-2.658424847102516e-09,-8.602207171769859e-09,1.955569156304618e-11,1.1241106663114526e-08
Howland Forest,US-Ho1,5,log_f_transfer[soil_active→soil_passive],transfer_fractions,1.6855040144144897e-10,-1.103358130131534e-10,3.758217850015702e-11,1.9140158998664688e-16,-3.699807416550249e-10,1.6478027759250366e-14,3.699638532071411e-10,-8.017825549398556e-17,-1.0113413008942374e-16,8.06862463959016e-11,-8.068595277915855e-11,3.5874702352327394e-18,2.0154011430976892e-17,3.828222351933782e-17,-6.202386756123004e-17
Howland Forest,US-Ho1,6,log_f_transfer[soil_active→resp],transfer_fractions,0.0001393593820671651,-3.715078159718556e-05,-3.5965054850807617e-06,1.4027192337629286e-10,-0.00030749761286168886,3.6996385320714123e-10,0.00030749699572102043,1.3367664855255338e-11,-2.0922563911212453e-11,-1.5819278544407768e-07,1.58200091864315e-07,4.253519205599023e-12,1.3763505471071139e-11,-3.1325786326248484e-14,-1.798574742749648e-11
Howland Forest,US-Ho1,7,log_f_transfer[soil_slow→soil_active],transfer_fractions,-6.48003252661711e-11,-3.3861839822217285e-11,-1.5548449793240927e-11,-1.6547457810319585e-16,-1.3367413858503184e-11,-8.017825549398557e-17,1.3367664855255334e-11,1.1021194766252895e-16,2.723689158432108e-17,-7.10624495222093e-13,7.104867854301834e-13,2.4993763719732656e-17,6.428223808017386e-18,-5.567170961513223e-19,-3.086529049947621e-17
Howland Forest,US-Ho1,8,log_f_transfer[soil_slow→soil_slow],transfer_fractions,-2.481015207058207e-11,1.2068023186397764e-10,-1.0262072983163249e-11,-8.797083645323605e-17,2.0922707976493543e-11,-1.0113413008942371e-16,-2.0922563911212434e-11,2.723689158432108e-17,1.523942312221235e-16,-5.428578269015863e-13,5.426779858162767e-13,6.069649094598047e-18,3.093885628346411e-17,-4.339992215629959e-19,-3.657447611525627e-17
Howland Forest,US-Ho1,9,log_f_transfer[soil_slow→soil_passive],transfer_fractions,-0.00012436237326071909,-0.0005565445913943154,0.0004242013836014008,-4.26442782428296e-10,9.882054509610982e-05,5.0428906250527554e-08,-9.887049531993624e-05,-4.441403293573423e-10,-3.392861569722959e-10,0.0004867727733103363,-0.00048677181537111166,2.298799617464466e-11,3.8349851493025055e-11,4.710527039329454e-10,-5.323917657686734e-10
