site,label,tower_id,biome,mean_GPP_gCm2yr,SOC_gCm2,n_cstock,n_pool_blocks,n_resp,n_incubation,tau_active_yr,tau_slow_yr,tau_passive_yr,J0,J_final,converged,n_iter
La Campana,La Campana (FluxCom fallback),,mediterranean forest,641,3689,1,1,0,1,2.18,27.5,205.7,5.6,2.8,True,7
Biadaski,Biadaski (FluxCom fallback),,temperate forest,1305,11799,1,1,0,1,2.15,20.46,181.3,3.7,3.4,True,9
Treynor,Treynor (FluxCom fallback),,temperate cultivated Mollisol,1549,12858,1,3,1,1,2.01,56.91,422.9,789.6,80.0,True,41
Dinesen,Dinesen (FluxCom fallback),,temperate grassland Mollisol,1560,18302,1,5,1,1,1.85,22.13,817.0,1729.5,75.9,True,40
Nelson Farm,Nelson Farm (FluxCom fallback),,temperate cultivated cropland,1589,13194,1,2,0,1,3.12,23.53,112.2,31.2,8.1,True,21
CZ_1981burn,CZ 1981 Burn (CA-NS5),CA-NS5,boreal burned forest permafrost,828,13144,1,1,0,1,2.0,20.11,253.6,8.9,4.6,True,19
Trumbore Musick,Trumbore Musick (US-xSP),US-xSP,montane conifer forest,393,16409,1,7,0,1,1.72,137.7,116.3,495.6,122.3,True,47
Trumbore Falbrook,Trumbore Falbrook (FluxCom fallback),,semi-arid grassland,803,4741,1,8,0,1,3.23,40.6,97.08,172.9,87.6,True,24
Trumbore Ahwahnee,Trumbore Ahwahnee (US-xSP),US-xSP,warm shrubland,393,3130,1,8,0,1,1.78,70.82,294.4,1260.0,228.7,True,40
CZ_1930burn,CZ 1930 Burn (CA-NS2),CA-NS2,boreal burned forest permafrost,792,12665,1,1,0,1,2.62,31.99,152.1,11.9,7.9,True,15
