biome,pathway,n_sites,dfs_total_mean,dfs_tau_mean,ur_tau_mean,ur_tau_active_mean,ur_tau_slow_mean,ur_tau_passive_mean
boreal forest,bulk_resp,1,2.9139469861989995,2.319319427013397,0.5969656291537871,0.9560223459996602,0.41735434478628997,0.4175201966754112
boreal forest,combined,1,2.9139469861989995,2.319319427013397,0.5969656291537871,0.9560223459996602,0.41735434478628997,0.4175201966754112
boreal wet forest/fire,bulk_resp,1,3.0385217368656394,2.1198507249355316,0.5446240310178267,0.9476752516733095,0.42788195641487625,0.25831488496529464
boreal wet forest/fire,combined,1,3.0385217368656394,2.1198507249355316,0.5446240310178267,0.9476752516733095,0.42788195641487625,0.25831488496529464
cool-temperate forest,bulk_resp,1,2.8601645827304893,2.003896862268448,0.45121312337780356,0.654089510334428,0.47399543981208137,0.2255544199869013
cool-temperate forest,combined,1,2.9885279238237077,2.075300872325897,0.4649433556616551,0.6416055331333177,0.4740679102794564,0.2791566235721912
cool-temperate forest,fraction,1,2.639887303114888,1.8490374386310577,0.3917924270451292,0.5467251334891343,0.3653715545991266,0.2632805930471265
temperate deciduous forest,bulk_resp,1,2.8864977359781117,2.10727921128273,0.5279824182791626,0.8932606183219599,0.45509034857564845,0.23559628793987952
temperate deciduous forest,combined,2,2.9839538633835154,2.149352118372917,0.5284106814594738,0.8589308929837566,0.4573364409969009,0.26896471039776376
temperate deciduous forest,fraction,2,2.8604445308456907,2.0533329993486404,0.4784551629930838,0.750918538606642,0.42002997993835184,0.2644169704342576
temperate evergreen forest,bulk_resp,1,3.79965522885426,2.4875974655151367,0.6883843519515871,0.9795160808845379,0.7595715492584032,0.3260654257118203
temperate evergreen forest,combined,1,3.4068096280209668,2.3095808029174805,0.6113904364785975,0.9886282428493435,0.5317979359364289,0.31374513065001997
temperate evergreen forest,fraction,1,2.8625831604015235,2.0642994344234467,0.539341795488109,0.9810524612744211,0.37536388499782647,0.26160904019207953
temperate forest,bulk_resp,1,2.922720611096543,2.099590390920639,0.5413499575558912,0.9474684101937781,0.442997136779145,0.23358432569475052
temperate forest,combined,1,3.0422452986255935,2.1589023172855377,0.5603145463627605,0.9645285891279033,0.4478816307436667,0.26853341921671126
temperate forest,fraction,1,2.9851692318927023,2.150173932313919,0.5387345853566665,0.8986609330713823,0.45149577185383527,0.266047051144782
temperate mixed forest,combined,2,2.996474236251016,2.160607725381851,0.5579471933335032,0.9538321318609524,0.45401933036102005,0.2659901177785371
temperate mixed forest,fraction,2,2.9955956041823932,2.1590074449777603,0.5558912787433161,0.9486704284783731,0.45308010794041365,0.26592329981116153
temperate peatland,bulk_resp,1,2.812218248844962,1.9614989757537842,0.4208656444328458,0.49309168397113234,0.49546646009996154,0.2740387892274435
temperate peatland,combined,1,2.812218248844962,1.9614989757537842,0.4208656444328458,0.49309168397113234,0.49546646009996154,0.2740387892274435
tropical moist forest,bulk_resp,2,2.952710404993452,2.1257922798395157,0.5465024632379619,0.9455325693467886,0.44275517818693155,0.2512196421801656
tropical moist forest,combined,2,2.952710404993452,2.1257922798395157,0.5465024632379619,0.9455325693467886,0.44275517818693155,0.2512196421801656
tropical peat forest,bulk_resp,1,2.7752940058718503,1.963633120059967,0.4236374248387595,0.5591985575565861,0.4339861683581049,0.27772754860158744
tropical peat forest,combined,1,2.7752940058718503,1.963633120059967,0.4236374248387595,0.5591985575565861,0.4339861683581049,0.27772754860158744
tundra/permafrost,bulk_resp,1,3.0503509044648163,2.3149377703666687,0.5946859968794805,0.9125400205794996,0.5783221564216168,0.2931958136373255
tundra/permafrost,combined,1,3.7164369523525584,2.560261368751526,0.7087828871680776,0.9621910468471421,0.7930138925069242,0.37114372215016667
tundra/permafrost,fraction,1,2.2392451614142677,1.7083165347576141,0.44942173595554663,0.9520023444920271,0.15693876333682732,0.23932410003778537
