site,biome,pathway,converged,n_obs,n_14c_blocks,dfs_total,dfs_tau,ur_tau_mean,ur_tau_active,ur_tau_slow,ur_tau_passive,J_final
CZ_Old_Black_Spruce,boreal forest,bulk_resp,True,6,3,2.9139469861989995,2.319319427013397,0.5969656291537871,0.9560223459996602,0.41735434478628997,0.4175201966754112,21.55983543395996
CZ_Old_Black_Spruce,boreal forest,combined,True,6,3,2.9139469861989995,2.319319427013397,0.5969656291537871,0.9560223459996602,0.41735434478628997,0.4175201966754112,21.55983543395996
CZ_1964burn_NSA,boreal wet forest/fire,bulk_resp,True,7,4,3.0385217368656394,2.1198507249355316,0.5446240310178267,0.9476752516733095,0.42788195641487625,0.25831488496529464,6.702705383300781
CZ_1964burn_NSA,boreal wet forest/fire,combined,True,7,4,3.0385217368656394,2.1198507249355316,0.5446240310178267,0.9476752516733095,0.42788195641487625,0.25831488496529464,6.702705383300781
Appi forest,cool-temperate forest,bulk_resp,True,15,12,2.8601645827304893,2.003896862268448,0.45121312337780356,0.654089510334428,0.47399543981208137,0.2255544199869013,5.910543441772461
Appi forest,cool-temperate forest,combined,True,16,13,2.9885279238237077,2.075300872325897,0.4649433556616551,0.6416055331333177,0.4740679102794564,0.2791566235721912,6.403546333312988
Appi forest,cool-temperate forest,fraction,True,4,1,2.639887303114888,1.8490374386310577,0.3917924270451292,0.5467251334891343,0.3653715545991266,0.2632805930471265,0.07142019271850586
Harvard Forest,temperate deciduous forest,bulk_resp,True,37,34,2.8864977359781117,2.10727921128273,0.5279824182791626,0.8932606183219599,0.45509034857564845,0.23559628793987952,10.503204345703125
Harvard Forest,temperate deciduous forest,combined,True,41,38,2.9965193271647967,2.1743335127830505,0.5459873037517545,0.9004724455266395,0.46552503751154206,0.2719644282170819,21.311857223510742
Harvard Forest,temperate deciduous forest,fraction,True,7,4,2.824080139399579,2.036125063896179,0.487448638735601,0.8232984158077725,0.37657313439588336,0.2624743660031472,5.428378105163574
MO Ozark BREA,temperate deciduous forest,combined,True,9,6,2.971388399602234,2.124370723962784,0.5108340591671929,0.8173893404408736,0.44914784448225975,0.26596499257844564,47.12273406982422
MO Ozark BREA,temperate deciduous forest,fraction,True,6,3,2.8968089222918025,2.0705409348011017,0.46946168725056664,0.6785386614055116,0.4634868254808203,0.266359574865368,1.6767135858535767
Howland Forest,temperate evergreen forest,bulk_resp,True,27,24,3.79965522885426,2.4875974655151367,0.6883843519515871,0.9795160808845379,0.7595715492584032,0.3260654257118203,45.69621276855469
Howland Forest,temperate evergreen forest,combined,True,34,31,3.4068096280209668,2.3095808029174805,0.6113904364785975,0.9886282428493435,0.5317979359364289,0.31374513065001997,382.55694580078125
Howland Forest,temperate evergreen forest,fraction,True,10,7,2.8625831604015235,2.0642994344234467,0.539341795488109,0.9810524612744211,0.37536388499782647,0.26160904019207953,21.62311553955078
Solling,temperate forest,bulk_resp,True,6,3,2.922720611096543,2.099590390920639,0.5413499575558912,0.9474684101937781,0.442997136779145,0.23358432569475052,1.0281058549880981
Solling,temperate forest,combined,True,9,6,3.0422452986255935,2.1589023172855377,0.5603145463627605,0.9645285891279033,0.4478816307436667,0.26853341921671126,15.947269439697266
Solling,temperate forest,fraction,True,6,3,2.9851692318927023,2.150173932313919,0.5387345853566665,0.8986609330713823,0.45149577185383527,0.266047051144782,0.03793711960315704
MI-Coarse UMBS,temperate mixed forest,combined,True,9,6,2.9985095560561184,2.1640226244926453,0.5654489295935766,0.9752201117935434,0.4546589976329616,0.2664676793542249,201.55259704589844
MI-Coarse UMBS,temperate mixed forest,fraction,True,6,3,2.9974372386942942,2.162403017282486,0.5627460726744117,0.968165771919344,0.45368768484417454,0.26638476125971666,0.019275367259979248
NH Bartlett Forest,temperate mixed forest,combined,True,9,6,2.9944389164459144,2.157192826271057,0.5504454570734297,0.9324441519283613,0.4533796630890785,0.2655125562028493,60.232666015625
NH Bartlett Forest,temperate mixed forest,fraction,True,6,3,2.9937539696704922,2.1556118726730347,0.5490364848122204,0.9291750850374023,0.45247253103665275,0.2654618383626064,0.031117677688598633
Auchencorth Moss,temperate peatland,bulk_resp,True,8,5,2.812218248844962,1.9614989757537842,0.4208656444328458,0.49309168397113234,0.49546646009996154,0.2740387892274435,26.6712646484375
Auchencorth Moss,temperate peatland,combined,True,8,5,2.812218248844962,1.9614989757537842,0.4208656444328458,0.49309168397113234,0.49546646009996154,0.2740387892274435,26.6712646484375
FLONA,tropical moist forest,bulk_resp,True,9,6,2.9526382088676884,2.12032151222229,0.546935472296373,0.9515297630211962,0.4403839662600013,0.2488926876079216,9.542487144470215
FLONA,tropical moist forest,combined,True,9,6,2.9526382088676884,2.12032151222229,0.546935472296373,0.9515297630211962,0.4403839662600013,0.2488926876079216,9.542487144470215
ZF2,tropical moist forest,bulk_resp,True,7,4,2.9527826011192158,2.1312630474567413,0.5460694541795509,0.9395353756723812,0.4451263901138618,0.25354659675240965,0.0929844006896019
ZF2,tropical moist forest,combined,True,7,4,2.9527826011192158,2.1312630474567413,0.5460694541795509,0.9395353756723812,0.4451263901138618,0.25354659675240965,0.0929844006896019
Baram Basin,tropical peat forest,bulk_resp,True,7,4,2.7752940058718503,1.963633120059967,0.4236374248387595,0.5591985575565861,0.4339861683581049,0.27772754860158744,0.4659462571144104
Baram Basin,tropical peat forest,combined,True,7,4,2.7752940058718503,1.963633120059967,0.4236374248387595,0.5591985575565861,0.4339861683581049,0.27772754860158744,0.4659462571144104
EML,tundra/permafrost,bulk_resp,True,18,15,3.0503509044648163,2.3149377703666687,0.5946859968794805,0.9125400205794996,0.5783221564216168,0.2931958136373255,103.28433227539062
EML,tundra/permafrost,combined,True,19,16,3.7164369523525584,2.560261368751526,0.7087828871680776,0.9621910468471421,0.7930138925069242,0.37114372215016667,363.06842041015625
EML,tundra/permafrost,fraction,True,4,1,2.2392451614142677,1.7083165347576141,0.44942173595554663,0.9520023444920271,0.15693876333682732,0.23932410003778537,96.60906982421875
