site_name,lat,lon,layer_obs,layer_entries,layer_entry_names,fraction_obs,fraction_entries,fraction_entry_names,flux_obs,flux_entries,flux_entry_names,incubation_obs,incubation_entries,incubation_entry_names,interstitial_obs,interstitial_entries,interstitial_entry_names,has_layer,has_fraction,has_respiration,has_interstitial,eligible_fraction,eligible_pool_resp,eligible,eligibility_path
AMA,-3.82,-70.27,3,1,Posada_2011,0,0,,0,0,,4,1,Posada_2011,0,0,,True,False,True,False,False,True,True,pool+respiration
ANpp,38.710133,-120.550133,5,1,Rasmussen_2018,6,1,Rasmussen_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
ANrf,38.628367,-120.2252167,6,1,Rasmussen_2018,6,1,Rasmussen_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
ANwf,38.698467,-120.397983,5,1,Rasmussen_2018,6,1,Rasmussen_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
ARL,43.295833,-89.38,24,1,Szymanski_2019,0,0,,0,0,,24,1,Szymanski_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
AZ_Mollisol,35.15944,-111.6097,4,1,Heckman_2018,34,1,Heckman_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Acquarossa,46.4466412388683,8.92230950847422,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Adventdalen Valley,78.17,16.1,17,1,Lupascu_2018,0,0,,20,1,Lupascu_2018,0,0,,25,1,Lupascu_2018,True,False,True,True,False,True,True,pool+respiration
Agnelli_2002_Cavalla,43.7,11.6,10,1,Agnelli_2002,6,1,Agnelli_2002,0,0,,2,1,Agnelli_2002,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
Alpthal,47.0479198165054,8.71251924569432,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Andrews Experimental Forest,44.25,-122.13,2,2,Sollins_2006|Sollins_2009,12,2,Sollins_2006|Sollins_2009,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Angelo_SouthMeadow,38.86,-123.630333333333,3,1,Foley_2023,0,0,,0,0,,3,1,Foley_2023,0,0,,True,False,True,False,False,True,True,pool+respiration
Ankasa,5.213894,-2.591406,12,1,Chiti_2010,1,1,Chiti_2010,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Appi forest,40.0,140.56,12,1,Koarashi_2009,22,1,Koarashi_2009,49,1,Atarashi-Andoh_2012,0,0,,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
Apuí,-7.217,-59.832861,6,1,Kuhnen_2019,0,0,,0,0,,6,1,Kuhnen_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Ari Mas,72.484093,101.671208,6,1,Gentsch_2018,13,1,Gentsch_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Arvigo,46.2908672228976,9.09327811628297,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Atlantic Coast Flatwoods,34.589,-77.271,16,1,Butnor_2017,16,1,Butnor_2017,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Auchencorth Moss,55.792778,-3.243056,10,1,Leith_2014,0,0,,14,1,Leith_2014,0,0,,38,1,Leith_2014,True,False,True,True,False,True,True,pool+respiration
BB-450-C,-23.31659419,31.453665514,6,1,Khomo_2017,12,1,Khomo_2017,0,0,,6,1,Khomo_2017,0,0,,True,True,True,False,True,True,True,fraction|pool+respiration
BCI,9.16,-79.85,3,1,Posada_2011,0,0,,0,0,,3,1,Posada_2011,0,0,,True,False,True,False,False,True,True,pool+respiration
BSpp,40.5005,-121.921467,4,1,Rasmussen_2018,6,1,Rasmussen_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
BSrf,40.5864167,-121.38267,4,1,Rasmussen_2018,6,1,Rasmussen_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
BSwf,40.535383,-121.6234,4,1,Rasmussen_2018,6,1,Rasmussen_2018,0,0,,0,0,,0,0,,True,True,False,False,True,False,True,fraction
Balgach,47.408145373637,9.58985481176815,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Baram Basin,4.47777778,114.30527778,8,1,Lupascu_2020,0,0,,14,1,Lupascu_2020,0,0,,0,0,,True,False,True,False,False,True,True,pool+respiration
Barrow,71.275,-156.55,27,1,Vaughn_2018,0,0,,49,1,Vaughn_2018,91,1,Vaughn_2018,14,1,Vaughn_2018,True,False,True,True,False,True,True,pool+respiration
Beatenberg,46.7008633043892,7.76106964464845,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
Belp,46.8630793100156,7.52178123160686,1,1,González-Domínguez_2019,0,0,,0,0,,1,1,González-Domínguez_2019,0,0,,True,False,True,False,False,True,True,pool+respiration
