site,tower_id,biome,status,n_iter,J0,J_final,n_obs,rchi2_data,tau_active_yr,tau_slow_yr,tau_passive_yr,GPP_gCm2yr,SOC_gCm2,block,family,block_n,block_rchi2,block_max_abs_z,worst_obs,worst_pred,worst_sigma
Adventdalen (SJ-Adv),SJ-Adv,high-arctic tundra/permafrost,ok,28,307.2,69.6,6,8.9,1.52,21.16,217.8,127,134116,resp_14C,resp_delta14C,4,12.67,5.7,61.9,-23.6,15.0
Adventdalen (SJ-Adv),SJ-Adv,high-arctic tundra/permafrost,ok,28,307.2,69.6,6,8.9,1.52,21.16,217.8,127,134116,c_sum,C_stocks,1,2.71,1.64,134116.1,23818.0,67058.1
Adventdalen (SJ-Adv),SJ-Adv,high-arctic tundra/permafrost,ok,28,307.2,69.6,6,8.9,1.52,21.16,217.8,127,134116,israd_bulk_2012_profile,pool_delta14C,1,0.01,0.08,-716.4,-725.6,120.9
Appi forest (JP-Api),JP-Api,temperate forest,ok,4,6.7,5.6,12,0.43,1.84,24.88,163.5,1255,12296,resp_14C,resp_delta14C,10,0.48,1.19,38.1,55.9,15.0
Appi forest (JP-Api),JP-Api,temperate forest,ok,4,6.7,5.6,12,0.43,1.84,24.88,163.5,1255,12296,c_sum,C_stocks,1,0.05,0.22,12295.7,10954.8,6147.8
Appi forest (JP-Api),JP-Api,temperate forest,ok,4,6.7,5.6,12,0.43,1.84,24.88,163.5,1255,12296,israd_bulk_2005_profile,pool_delta14C,1,0.37,0.6,21.6,4.4,28.4
Auchencorth Moss (UK-AMo),UK-AMo,temperate peatland,ok,21,41.4,14.8,4,1.28,8.24,16.57,145.3,756,7141,resp_14C,resp_delta14C,2,1.5,1.4,103.4,82.4,15.0
Auchencorth Moss (UK-AMo),UK-AMo,temperate peatland,ok,21,41.4,14.8,4,1.28,8.24,16.57,145.3,756,7141,c_sum,C_stocks,1,0.19,0.43,7141.3,8678.5,3570.6
Auchencorth Moss (UK-AMo),UK-AMo,temperate peatland,ok,21,41.4,14.8,4,1.28,8.24,16.57,145.3,756,7141,israd_bulk_2012_profile,pool_delta14C,1,1.96,1.4,90.6,69.6,15.0
Lambir Hills (MY-LHP),MY-LHP,tropical moist forest,ok,8,1.2,0.8,4,0.15,1.84,17.57,216.9,3059,8052,resp_14C,resp_delta14C,2,0.29,0.66,-2.8,7.2,15.0
