site,label,tower_id,biome,state_name,prior_sigma,posterior_sigma,uncertainty_reduction,averaging_kernel_diagonal
NH Bartlett Forest,Bartlett Forest (US-Bar),US-Bar,temperate mixed forest,log_f_transfer[0],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,5.844855561321733e-15
NH Bartlett Forest,Bartlett Forest (US-Bar),US-Bar,temperate mixed forest,log_f_transfer[1],0.5,0.36567651027164927,0.26864697945670146,0.46508508920669556
NH Bartlett Forest,Bartlett Forest (US-Bar),US-Bar,temperate mixed forest,log_f_transfer[2],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,1.142474461389431e-12
NH Bartlett Forest,Bartlett Forest (US-Bar),US-Bar,temperate mixed forest,log_f_transfer[3],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,9.95631007685556e-16
NH Bartlett Forest,Bartlett Forest (US-Bar),US-Bar,temperate mixed forest,log_f_transfer[4],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,1.127177871372109e-15
NH Bartlett Forest,Bartlett Forest (US-Bar),US-Bar,temperate mixed forest,log_f_transfer[5],0.5,0.3959089529017626,0.20818209419647482,0.3730570077896118
NH Bartlett Forest,Bartlett Forest (US-Bar),US-Bar,temperate mixed forest,log_f_transfer[6],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,2.647389689319587e-18
NH Bartlett Forest,Bartlett Forest (US-Bar),US-Bar,temperate mixed forest,log_f_transfer[7],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,3.920142926148032e-18
NH Bartlett Forest,Bartlett Forest (US-Bar),US-Bar,temperate mixed forest,log_f_transfer[8],0.019999999552965164,0.01999999974737875,-9.720679594593662e-09,5.515356601553483e-18
NH Bartlett Forest,Bartlett Forest (US-Bar),US-Bar,temperate mixed forest,log_tau[0],0.5,0.03541245748129883,0.9291750850374023,0.9949836730957031
