site,label,biome_group,forcing_kind,family,n_obs,shapley_dfs,shapley_share,dfs_standalone,dfs_unique_last,dfs_joint_total
Appi forest,Appi forest (JP-Api),temperate_forest,daily,C_stocks,1,0.4085309804296173,0.2472082663287163,0.4127318870150975,0.4043031180974901,1.6525781540265645
Appi forest,Appi forest (JP-Api),temperate_forest,daily,bulk_14C,1,0.5651142481947868,0.3419591665409991,0.5857654016453488,0.544436138997578,1.6525781540265645
Appi forest,Appi forest (JP-Api),temperate_forest,daily,fraction_14C,0,0.0,0.0,0.0,0.0,1.6525781540265645
Appi forest,Appi forest (JP-Api),temperate_forest,daily,resp_14C,10,0.6789329254021603,0.4108325671302846,0.6959144395866959,0.661924455470978,1.6525781540265645
Baram Basin,Lambir Hills (MY-LHP),tropical,daily,C_stocks,1,0.47666269376658366,0.41667615498956656,0.504692463640567,0.44619292623489415,1.1439644147107941
Baram Basin,Lambir Hills (MY-LHP),tropical,daily,bulk_14C,1,0.6045868299409086,0.5285014307842385,0.6498562224426859,0.556877439781425,1.1439644147107941
Baram Basin,Lambir Hills (MY-LHP),tropical,daily,fraction_14C,0,0.0,0.0,0.0,0.0,1.1439644147107941
Baram Basin,Lambir Hills (MY-LHP),tropical,daily,resp_14C,2,0.06271489100330191,0.05482241422619503,0.08311016977185595,0.0398796145770417,1.1439644147107941
CZ_1964burn_NSA,1964 burn NSA (CA-NS4),boreal,daily,C_stocks,1,0.5943917852387606,0.4747241628646727,0.6401982290195345,0.5554623558199601,1.2520782208598067
CZ_1964burn_NSA,1964 burn NSA (CA-NS4),boreal,daily,bulk_14C,1,0.5217663305411342,0.4167202350847021,0.5548719984934697,0.4955376769507718,1.2520782208598067
CZ_1964burn_NSA,1964 burn NSA (CA-NS4),boreal,daily,fraction_14C,0,0.0,0.0,0.0,0.0,1.2520782208598067
CZ_1964burn_NSA,1964 burn NSA (CA-NS4),boreal,daily,resp_14C,1,0.13592010507991187,0.1085556020506251,0.1805070141615057,0.09821021036029132,1.2520782208598067
Auchencorth Moss,Auchencorth Moss (UK-AMo),peatland,daily,C_stocks,1,0.38301259067084087,0.3353441648650358,0.4630639807504787,0.3215768068764111,1.142147771752611
Auchencorth Moss,Auchencorth Moss (UK-AMo),peatland,daily,bulk_14C,1,0.41930190767934616,0.3671170386612345,0.5637018917777126,0.29351752986618773,1.142147771752611
Auchencorth Moss,Auchencorth Moss (UK-AMo),peatland,daily,fraction_14C,0,0.0,0.0,0.0,0.0,1.142147771752611
Auchencorth Moss,Auchencorth Moss (UK-AMo),peatland,daily,resp_14C,2,0.3398332734024239,0.29753879647372966,0.5337915338901151,0.1644906191999409,1.142147771752611
CZ_Old_Black_Spruce,Old Black Spruce (CA-NS1),boreal,daily,C_stocks,1,0.3337140427093069,0.4610088496181859,0.3425552781303466,0.32524782288213533,0.7238777368063403
CZ_Old_Black_Spruce,Old Black Spruce (CA-NS1),boreal,daily,bulk_14C,1,0.28798565286215905,0.39783742228724484,0.3106145565865911,0.26573176473159527,0.7238777368063403
CZ_Old_Black_Spruce,Old Black Spruce (CA-NS1),boreal,daily,fraction_14C,0,0.0,0.0,0.0,0.0,0.7238777368063403
CZ_Old_Black_Spruce,Old Black Spruce (CA-NS1),boreal,daily,resp_14C,1,0.10217804123487438,0.14115372809456933,0.1166867665056416,0.08804433155797542,0.7238777368063403
EML,Eight Mile Lake (US-EML),arctic_permafrost,daily,C_stocks,1,0.6750756232265684,0.26352142690406,0.765326208203268,0.5958782450547278,2.56174851190504
EML,Eight Mile Lake (US-EML),arctic_permafrost,daily,bulk_14C,1,0.6293062638336039,0.24565497390125207,0.6704804335162244,0.5991853009558421,2.56174851190504
EML,Eight Mile Lake (US-EML),arctic_permafrost,daily,fraction_14C,0,0.0,0.0,0.0,0.0,2.56174851190504
EML,Eight Mile Lake (US-EML),arctic_permafrost,daily,resp_14C,12,1.2573666248448674,0.4908235991946879,1.3663322239671616,1.1594542325274317,2.56174851190504
FLONA,Santarém FLONA (BR-Sa3),tropical,daily,C_stocks,1,0.33635450304079134,0.2112954903220262,0.3698948330339248,0.3120878323725358,1.591867874360064
FLONA,Santarém FLONA (BR-Sa3),tropical,daily,bulk_14C,1,0.8611556159803274,0.5409717915982912,0.9461229093297459,0.785461981955787,1.591867874360064
FLONA,Santarém FLONA (BR-Sa3),tropical,daily,fraction_14C,0,0.0,0.0,0.0,0.0,1.591867874360064
FLONA,Santarém FLONA (BR-Sa3),tropical,daily,resp_14C,3,0.39435775533894524,0.24773271807968253,0.47704570145548986,0.3209434685472785,1.591867874360064
Harvard Forest,Harvard Forest (US-Ha1),temperate_forest,daily,C_stocks,1,0.11582295773021975,0.07891596562454642,0.19104332175408062,0.038765406247579515,1.4676745930128186
Harvard Forest,Harvard Forest (US-Ha1),temperate_forest,daily,bulk_14C,1,0.39679268091428643,0.27035467044486805,0.5330320922302031,0.2587160821395904,1.4676745930128186
Harvard Forest,Harvard Forest (US-Ha1),temperate_forest,daily,fraction_14C,0,0.0,0.0,0.0,0.0,1.4676745930128186
Harvard Forest,Harvard Forest (US-Ha1),temperate_forest,daily,resp_14C,33,0.9550589543683123,0.6507293639305854,1.1580102100311274,0.7502705112467181,1.4676745930128186
MI-Coarse UMBS,UMBS (US-UMB),temperate_forest,daily,C_stocks,1,0.4603798468204593,0.6380306265143446,0.46280091010776686,0.4579573250946038,0.7215638680788449
MI-Coarse UMBS,UMBS (US-UMB),temperate_forest,daily,bulk_14C,1,0.2590402286263883,0.3589983369262652,0.26146091839809826,0.25661808041613055,0.7215638680788449
MI-Coarse UMBS,UMBS (US-UMB),temperate_forest,daily,fraction_14C,3,0.0021437926319972825,0.0029710365593902375,0.002201102044426579,0.0020850247810201283,0.7215638680788449
MI-Coarse UMBS,UMBS (US-UMB),temperate_forest,daily,resp_14C,0,0.0,0.0,0.0,0.0,0.7215638680788449
Howland Forest,Howland Forest (US-Ho1),temperate_forest,daily,C_stocks,1,0.264191025962457,0.301241309772042,0.31461795394117514,0.2261983053691936,0.877007958046584
Howland Forest,Howland Forest (US-Ho1),temperate_forest,daily,bulk_14C,5,0.3936584338250275,0.4488652927412975,0.49016540225503535,0.30958567278047433,0.877007958046584
Howland Forest,Howland Forest (US-Ho1),temperate_forest,daily,fraction_14C,0,0.0,0.0,0.0,0.0,0.877007958046584
Howland Forest,Howland Forest (US-Ho1),temperate_forest,daily,resp_14C,17,0.21915849825909953,0.24989339748666053,0.31379123998379177,0.13695996391986198,0.877007958046584
NH Bartlett Forest,Bartlett Forest (US-Bar),temperate_forest,daily,C_stocks,1,0.49747938750127607,0.6835555193388759,0.5271502081814097,0.4669657641743488,0.7277819773621758
NH Bartlett Forest,Bartlett Forest (US-Bar),temperate_forest,daily,bulk_14C,1,0.09128439816095077,0.1254282202642725,0.12171010278633307,0.06001589088877479,0.7277819773621758
NH Bartlett Forest,Bartlett Forest (US-Bar),temperate_forest,daily,fraction_14C,3,0.1390181916999489,0.19101626039685154,0.14677028446516305,0.13042329628794103,0.7277819773621758
NH Bartlett Forest,Bartlett Forest (US-Bar),temperate_forest,daily,resp_14C,0,0.0,0.0,0.0,0.0,0.7277819773621758
MO Ozark BREA,Missouri Ozark (US-MOz),temperate_forest,daily,C_stocks,1,0.4977326399256807,0.6369695716010562,0.5030694158736008,0.4922170580652241,0.7814072478762271
MO Ozark BREA,Missouri Ozark (US-MOz),temperate_forest,daily,bulk_14C,1,0.03564365985019572,0.04561470340474957,0.03983782568110499,0.03127068810674993,0.7814072478762271
