site,label,biome_group,forcing_kind,family,n_obs,shapley_dfs,shapley_share,dfs_standalone,dfs_unique_last,dfs_joint_total
Baram Basin,Lambir Hills (MY-LHP),tropical,daily,C_stocks,1,0.479578518502367,0.4109149658967589,0.5072969804544568,0.4499152060902277,1.1670991769690364
Baram Basin,Lambir Hills (MY-LHP),tropical,daily,bulk_14C,1,0.5947705877502691,0.5096144350773102,0.6496254497714037,0.5379708752690852,1.1670991769690364
Baram Basin,Lambir Hills (MY-LHP),tropical,daily,fraction_14C,0,0.0,0.0,0.0,0.0,1.1670991769690364
Baram Basin,Lambir Hills (MY-LHP),tropical,daily,resp_14C,2,0.0927500707164003,0.07947059902593094,0.12183373462072926,0.06172155635202192,1.1670991769690364
CZ_1964burn_NSA,1964 burn NSA (CA-NS4),boreal,daily,C_stocks,1,0.5768991391974831,0.44060896530051225,0.6405782967584698,0.5224519069407477,1.309322289445508
CZ_1964burn_NSA,1964 burn NSA (CA-NS4),boreal,daily,bulk_14C,1,0.5191644371108742,0.3965138616335157,0.5540848186726994,0.4934759808533,1.309322289445508
CZ_1964burn_NSA,1964 burn NSA (CA-NS4),boreal,daily,fraction_14C,0,0.0,0.0,0.0,0.0,1.309322289445508
CZ_1964burn_NSA,1964 burn NSA (CA-NS4),boreal,daily,resp_14C,1,0.21325871313715067,0.16287717306597196,0.2796074697770271,0.15614188180152522,1.309322289445508
EML,Eight Mile Lake (US-EML),arctic_permafrost,daily,C_stocks,1,0.6536238818661693,0.27617236924190575,0.7481715925093707,0.5740633825858268,2.366724389048656
EML,Eight Mile Lake (US-EML),arctic_permafrost,daily,bulk_14C,1,0.6062428000826515,0.25615268211536063,0.6641927312251173,0.5632800803030444,2.366724389048656
EML,Eight Mile Lake (US-EML),arctic_permafrost,daily,fraction_14C,0,0.0,0.0,0.0,0.0,2.366724389048656
EML,Eight Mile Lake (US-EML),arctic_permafrost,daily,resp_14C,12,1.1068577070998353,0.4676749486427336,1.2253416435331876,1.0033609820293417,2.366724389048656
Auchencorth Moss,Auchencorth Moss (UK-AMo),peatland,daily,C_stocks,1,0.26949059469493103,0.2484420865441319,0.3298671145811005,0.22069195862254487,1.0847219907206027
Auchencorth Moss,Auchencorth Moss (UK-AMo),peatland,daily,bulk_14C,1,0.3886599174473391,0.3583037135525799,0.5415496508405622,0.2473480678678993,1.0847219907206027
Auchencorth Moss,Auchencorth Moss (UK-AMo),peatland,daily,fraction_14C,0,0.0,0.0,0.0,0.0,1.0847219907206027
Auchencorth Moss,Auchencorth Moss (UK-AMo),peatland,daily,resp_14C,2,0.42657147857833266,0.39325419990328825,0.6184053421159548,0.24631549885449378,1.0847219907206027
CZ_Old_Black_Spruce,Old Black Spruce (CA-NS1),boreal,daily,C_stocks,1,0.32165159865408083,0.43994151458423286,0.3296656043944447,0.3142672816672624,0.7311235425419171
CZ_Old_Black_Spruce,Old Black Spruce (CA-NS1),boreal,daily,bulk_14C,1,0.2942750359858466,0.402497004764383,0.31748812878013455,0.27169163194510426,0.7311235425419171
CZ_Old_Black_Spruce,Old Black Spruce (CA-NS1),boreal,daily,fraction_14C,0,0.0,0.0,0.0,0.0,0.7311235425419171
CZ_Old_Black_Spruce,Old Black Spruce (CA-NS1),boreal,daily,resp_14C,1,0.11519690790198973,0.15756148065138417,0.132067597989927,0.098955906567598,0.7311235425419171
MI-Coarse UMBS,UMBS (US-UMB),temperate_forest,daily,C_stocks,1,0.3021533366566711,0.7819789350531918,0.30306380776161107,0.30124270607243864,0.38639574944063937
MI-Coarse UMBS,UMBS (US-UMB),temperate_forest,daily,bulk_14C,1,0.08341408058695039,0.21587732449879085,0.08431442822651469,0.08251357346809363,0.38639574944063937
MI-Coarse UMBS,UMBS (US-UMB),temperate_forest,daily,fraction_14C,3,0.0008283321970178826,0.002143740448017367,0.000887183613552446,0.0007693213011908395,0.38639574944063937
MI-Coarse UMBS,UMBS (US-UMB),temperate_forest,daily,resp_14C,0,0.0,0.0,0.0,0.0,0.38639574944063937
Appi forest,Appi forest (JP-Api),temperate_forest,daily,C_stocks,1,0.03420570183227392,0.03181280083243805,0.03454637755525981,0.03390926256492999,1.0752181806449415
Appi forest,Appi forest (JP-Api),temperate_forest,daily,bulk_14C,1,0.5598157226467051,0.5206531406592421,0.5751698303439436,0.5445058514051085,1.0752181806449415
Appi forest,Appi forest (JP-Api),temperate_forest,daily,fraction_14C,0,0.0,0.0,0.0,0.0,1.0752181806449415
Appi forest,Appi forest (JP-Api),temperate_forest,daily,resp_14C,10,0.48119675616596236,0.4475340585083198,0.49648688397252405,0.4659508648150428,1.0752181806449415
FLONA,Santarém FLONA (BR-Sa3),tropical,daily,C_stocks,1,0.3080990958637178,0.18968013037676515,0.3451847729312383,0.28198420651102785,1.6243087520645145
FLONA,Santarém FLONA (BR-Sa3),tropical,daily,bulk_14C,1,0.860327167075776,0.5296574102566957,0.9472152662271682,0.7844098556392143,1.6243087520645145
FLONA,Santarém FLONA (BR-Sa3),tropical,daily,fraction_14C,0,0.0,0.0,0.0,0.0,1.6243087520645145
FLONA,Santarém FLONA (BR-Sa3),tropical,daily,resp_14C,3,0.4558824891250207,0.28066245936653916,0.5458794494469457,0.3768563165179264,1.6243087520645145
MO Ozark BREA,Missouri Ozark (US-MOz),temperate_forest,daily,C_stocks,1,0.42269459531008796,0.6609875049698312,0.4245001371644545,0.4208663080413628,0.639489539714341
MO Ozark BREA,Missouri Ozark (US-MOz),temperate_forest,daily,bulk_14C,1,0.014967460089069125,0.023405324340027622,0.015920941272462786,0.013991233491316812,0.639489539714341
MO Ozark BREA,Missouri Ozark (US-MOz),temperate_forest,daily,fraction_14C,3,0.20182748431518382,0.31560717069014116,0.20446306271723372,0.19916916049877537,0.639489539714341
MO Ozark BREA,Missouri Ozark (US-MOz),temperate_forest,daily,resp_14C,0,0.0,0.0,0.0,0.0,0.639489539714341
NH Bartlett Forest,Bartlett Forest (US-Bar),temperate_forest,daily,C_stocks,1,0.5760331997256432,0.647969248812588,0.6265301118411292,0.5236644235993264,0.8889823101655385
