site,label,biome_group,forcing_kind,rung,added_family,active_families,n_obs_cumulative,n_obs_added_family,dfs_cumulative,dfs_increment
Baram Basin,C_stocks,tropical,daily,1,C_stocks,['C_stocks'],1,1,0.504692463640567,0.504692463640567
Baram Basin,C_stocks+bulk_14C,tropical,daily,2,bulk_14C,"['C_stocks', 'bulk_14C']",2,1,1.1040848001337524,0.5993923364931855
Baram Basin,C_stocks+bulk_14C+fraction_14C,tropical,daily,3,fraction_14C,"['C_stocks', 'bulk_14C', 'fraction_14C']",2,0,1.1040848001337524,0.0
Baram Basin,C_stocks+bulk_14C+fraction_14C+resp_14C,tropical,daily,4,resp_14C,"['C_stocks', 'bulk_14C', 'fraction_14C', 'resp_14C']",4,2,1.1439644147107941,0.0398796145770417
Baram Basin,C_stocks+bulk_14C+fraction_14C+resp_14C+ER_annual,tropical,daily,5,ER_annual,"['C_stocks', 'bulk_14C', 'fraction_14C', 'resp_14C', 'ER_annual']",4,0,1.1439644147107941,0.0
Auchencorth Moss,C_stocks,peatland,daily,1,C_stocks,['C_stocks'],1,1,0.33325236155899013,0.33325236155899013
Auchencorth Moss,C_stocks+bulk_14C,peatland,daily,2,bulk_14C,"['C_stocks', 'bulk_14C']",2,1,0.8412753310835024,0.5080229695245122
Auchencorth Moss,C_stocks+bulk_14C+fraction_14C,peatland,daily,3,fraction_14C,"['C_stocks', 'bulk_14C', 'fraction_14C']",2,0,0.8412753310835024,0.0
Auchencorth Moss,C_stocks+bulk_14C+fraction_14C+resp_14C,peatland,daily,4,resp_14C,"['C_stocks', 'bulk_14C', 'fraction_14C', 'resp_14C']",4,2,1.090500398346755,0.24922506726325255
Auchencorth Moss,C_stocks+bulk_14C+fraction_14C+resp_14C+ER_annual,peatland,daily,5,ER_annual,"['C_stocks', 'bulk_14C', 'fraction_14C', 'resp_14C', 'ER_annual']",7,3,1.1405667176750565,0.05006631932830152
CZ_1964burn_NSA,C_stocks,boreal,daily,1,C_stocks,['C_stocks'],1,1,0.6405759694264163,0.6405759694264163
CZ_1964burn_NSA,C_stocks+bulk_14C,boreal,daily,2,bulk_14C,"['C_stocks', 'bulk_14C']",2,1,1.1535600512130926,0.5129840817866763
CZ_1964burn_NSA,C_stocks+bulk_14C+fraction_14C,boreal,daily,3,fraction_14C,"['C_stocks', 'bulk_14C', 'fraction_14C']",2,0,1.1535600512130926,0.0
