site,label,biome_group,forcing_kind,family,n_obs,shapley_dfs,shapley_share,dfs_standalone,dfs_unique_last,dfs_joint_total
Baram Basin,Lambir Hills (MY-LHP),tropical,daily,C_stocks,1,0.47666269376658366,0.41667615498956656,0.504692463640567,0.44619292623489415,1.1439644147107941
Baram Basin,Lambir Hills (MY-LHP),tropical,daily,bulk_14C,1,0.6045868299409085,0.5285014307842384,0.6498562224426859,0.556877439781425,1.1439644147107941
Baram Basin,Lambir Hills (MY-LHP),tropical,daily,fraction_14C,0,0.0,0.0,0.0,0.0,1.1439644147107941
Baram Basin,Lambir Hills (MY-LHP),tropical,daily,resp_14C,2,0.06271489100330192,0.05482241422619504,0.08311016977185595,0.0398796145770417,1.1439644147107941
Baram Basin,Lambir Hills (MY-LHP),tropical,daily,ER_annual,0,0.0,0.0,0.0,0.0,1.1439644147107941
Auchencorth Moss,Auchencorth Moss (UK-AMo),peatland,daily,C_stocks,1,0.24561207019145337,0.21534213333185073,0.33325236155899013,0.18965259266286405,1.1405667176750565
Auchencorth Moss,Auchencorth Moss (UK-AMo),peatland,daily,bulk_14C,1,0.36534906985390564,0.3203224013047103,0.5398327085121607,0.24077735570970005,1.1405667176750565
Auchencorth Moss,Auchencorth Moss (UK-AMo),peatland,daily,fraction_14C,0,0.0,0.0,0.0,0.0,1.1405667176750565
Auchencorth Moss,Auchencorth Moss (UK-AMo),peatland,daily,resp_14C,2,0.3715986855922052,0.3258017964522724,0.6223554765344227,0.187738451375151,1.1405667176750565
Auchencorth Moss,Auchencorth Moss (UK-AMo),peatland,daily,ER_annual,3,0.1580068920374922,0.13853366891116653,0.33322785124371,0.05006631932830152,1.1405667176750565
CZ_1964burn_NSA,1964 burn NSA (CA-NS4),boreal,daily,C_stocks,1,0.5946422392745205,0.47482784209114565,0.6405759694264163,0.5556685528052538,1.2523322909113992
CZ_1964burn_NSA,1964 burn NSA (CA-NS4),boreal,daily,bulk_14C,1,0.5211244781629197,0.41612316630729485,0.5546906055593012,0.49451883043618794,1.2523322909113992
