biome_group,n_sites,mean_dfs,shapley_share_cstocks,shapley_share_bulk14C,shapley_share_fraction14C,shapley_share_resp14C,biome_label,biome_label_n,subset
arctic_permafrost,2,1.9766799830832942,0.14522960644077157,0.2978428853082538,0.0,0.5406843416572883,Arctic / permafrost,Arctic / permafrost (n=2),all_sites
boreal,2,0.9988648220909704,0.46344912767749713,0.4014026648970598,0.0,0.11965686571324324,Boreal,Boreal (n=2),all_sites
peatland,1,1.1405667737140996,0.2153421333318507,0.3203224013047103,0.0,0.3258017964522724,Peatland,Peatland (n=1),all_sites
temperate_forest,10,1.4460655914632607,0.36613496109020216,0.3741157785033557,0.029328484021034627,0.11385959999967685,Temperate forest,Temperate forest (n=10),all_sites
tropical,6,0.9541038173882685,0.5625521373616573,0.3673710579125626,1.0360701610812918e-07,0.06932650037884842,Tropical,Tropical (n=6),all_sites
grassland_mediterranean,3,0.7762751768657212,0.7875897742345498,0.2118951733849228,5.239258340804066e-07,0.0,Grassland / Mediterranean,Grassland / Mediterranean (n=3),all_sites
arctic_permafrost,2,1.9766799830832942,0.14522960644077157,0.2978428853082538,0.0,0.5406843416572883,Arctic / permafrost,Arctic / permafrost (n=2),tower_bulk_resp
boreal,2,0.9988648220909704,0.46344912767749713,0.4014026648970598,0.0,0.11965686571324324,Boreal,Boreal (n=2),tower_bulk_resp
peatland,1,1.1405667737140996,0.2153421333318507,0.3203224013047103,0.0,0.3258017964522724,Peatland,Peatland (n=1),tower_bulk_resp
temperate_forest,4,1.9530660817423948,0.20467348222003878,0.34565141044401415,0.0,0.28464899999919213,Temperate forest,Temperate forest (n=4),tower_bulk_resp
tropical,3,1.3175179523744462,0.31268214010695333,0.5486648591353498,0.0,0.13865300075769685,Tropical,Tropical (n=3),tower_bulk_resp
