site,site_id,biome,mean_GPP_gCm2yr,ladder,rung,constraint_label,added_family,n_obs_added_family,n_obs_cumulative,dfs_cumulative,dfs_increment
1964 burn NSA (CA-NS4),CA-NS4,boreal wet forest/fire chronosequence,288.8,no_12C_stocks,1,bulk_14C,bulk_14C,1,1,0.9639,0.9639
1964 burn NSA (CA-NS4),CA-NS4,boreal wet forest/fire chronosequence,288.8,no_12C_stocks,2,bulk_14C+fraction_14C,fraction_14C,0,1,0.9639,0.0
1964 burn NSA (CA-NS4),CA-NS4,boreal wet forest/fire chronosequence,288.8,no_12C_stocks,3,bulk_14C+fraction_14C+resp_14C,resp_14C,1,2,1.958,0.9941
1964 burn NSA (CA-NS4),CA-NS4,boreal wet forest/fire chronosequence,288.8,with_12C_stocks,1,C_stocks,C_stocks,1,1,0.5915,0.5915
1964 burn NSA (CA-NS4),CA-NS4,boreal wet forest/fire chronosequence,288.8,with_12C_stocks,2,C_stocks+bulk_14C,bulk_14C,1,2,0.9657,0.3742
1964 burn NSA (CA-NS4),CA-NS4,boreal wet forest/fire chronosequence,288.8,with_12C_stocks,3,C_stocks+bulk_14C+fraction_14C,fraction_14C,0,2,0.9657,0.0
1964 burn NSA (CA-NS4),CA-NS4,boreal wet forest/fire chronosequence,288.8,with_12C_stocks,4,C_stocks+bulk_14C+fraction_14C+resp_14C,resp_14C,1,3,1.96,0.9943
Adventdalen (SJ-Adv),SJ-Adv,high-arctic tundra/permafrost,127.2,no_12C_stocks,1,bulk_14C,bulk_14C,1,1,0.8324,0.8324
Adventdalen (SJ-Adv),SJ-Adv,high-arctic tundra/permafrost,127.2,no_12C_stocks,2,bulk_14C+fraction_14C,fraction_14C,0,1,0.8324,0.0
Adventdalen (SJ-Adv),SJ-Adv,high-arctic tundra/permafrost,127.2,no_12C_stocks,3,bulk_14C+fraction_14C+resp_14C,resp_14C,4,5,1.7146,0.8823
Adventdalen (SJ-Adv),SJ-Adv,high-arctic tundra/permafrost,127.2,with_12C_stocks,1,C_stocks,C_stocks,1,1,0.51,0.51
Adventdalen (SJ-Adv),SJ-Adv,high-arctic tundra/permafrost,127.2,with_12C_stocks,2,C_stocks+bulk_14C,bulk_14C,1,2,0.8573,0.3473
