biome_group,param,family,shapley_dfs
arctic_permafrost,f_a_to_s,resp_14C,0.4290465521584126
arctic_permafrost,f_a_to_s,C_stocks,0.06611515125628396
arctic_permafrost,f_a_to_s,bulk_14C,0.01870434080464123
arctic_permafrost,f_a_to_s,ER_annual,0.002847025415314517
arctic_permafrost,f_a_to_s,fraction_12C,0.0
arctic_permafrost,f_a_to_s,fraction_14C,0.0
arctic_permafrost,f_s_to_p,resp_14C,0.4064833783561206
arctic_permafrost,f_s_to_p,bulk_14C,0.09876452687127477
arctic_permafrost,f_s_to_p,C_stocks,0.026555189694981142
arctic_permafrost,f_s_to_p,ER_annual,0.00016020839125092958
arctic_permafrost,f_s_to_p,fraction_12C,0.0
arctic_permafrost,f_s_to_p,fraction_14C,0.0
arctic_permafrost,tau_active,resp_14C,0.11011277900084411
arctic_permafrost,tau_active,ER_annual,0.0303780299369741
arctic_permafrost,tau_active,C_stocks,0.02855486202980895
arctic_permafrost,tau_active,bulk_14C,0.020035429212636974
arctic_permafrost,tau_active,fraction_12C,0.0
arctic_permafrost,tau_active,fraction_14C,0.0
arctic_permafrost,tau_passive,bulk_14C,0.2866267732306244
arctic_permafrost,tau_passive,C_stocks,0.09688710855597898
arctic_permafrost,tau_passive,resp_14C,0.05690022886511412
arctic_permafrost,tau_passive,ER_annual,0.0002634521281881868
arctic_permafrost,tau_passive,fraction_12C,0.0
arctic_permafrost,tau_passive,fraction_14C,0.0
arctic_permafrost,tau_slow,bulk_14C,0.17302403087628893
arctic_permafrost,tau_slow,C_stocks,0.11191869348067446
arctic_permafrost,tau_slow,resp_14C,0.021894670704415642
arctic_permafrost,tau_slow,ER_annual,0.0010197206783971165
arctic_permafrost,tau_slow,fraction_12C,0.0
arctic_permafrost,tau_slow,fraction_14C,0.0
boreal,f_a_to_s,C_stocks,0.17136546444136153
boreal,f_a_to_s,resp_14C,0.10510921840494986
boreal,f_a_to_s,bulk_14C,0.021528487532693603
boreal,f_a_to_s,ER_annual,0.00033795007710741155
boreal,f_a_to_s,fraction_12C,0.0
boreal,f_a_to_s,fraction_14C,0.0
boreal,f_s_to_p,bulk_14C,0.11627357380330239
boreal,f_s_to_p,C_stocks,0.04090321942526085
boreal,f_s_to_p,resp_14C,0.0167124559513607
boreal,f_s_to_p,ER_annual,2.2522443807652553e-05
boreal,f_s_to_p,fraction_12C,0.0
boreal,f_s_to_p,fraction_14C,0.0
boreal,tau_active,C_stocks,0.07223226914346151
boreal,tau_active,bulk_14C,0.06337767675032838
boreal,tau_active,resp_14C,0.03370124552212198
boreal,tau_active,ER_annual,0.0112119034204089
boreal,tau_active,fraction_12C,0.0
boreal,tau_active,fraction_14C,0.0
boreal,tau_passive,bulk_14C,0.15115253564992598
boreal,tau_passive,C_stocks,0.05862126449754394
boreal,tau_passive,resp_14C,0.006308022476691447
boreal,tau_passive,ER_annual,2.6123487636069413e-05
boreal,tau_passive,fraction_12C,0.0
boreal,tau_passive,fraction_14C,0.0
boreal,tau_slow,C_stocks,0.10459559676941274
boreal,tau_slow,bulk_14C,0.053589626760068364
boreal,tau_slow,resp_14C,0.001961740288413495
boreal,tau_slow,ER_annual,5.8896445181379404e-05
boreal,tau_slow,fraction_12C,0.0
boreal,tau_slow,fraction_14C,0.0
grassland_mediterranean,f_a_to_s,C_stocks,0.18021197616104198
grassland_mediterranean,f_a_to_s,fraction_12C,0.10022749380263418
grassland_mediterranean,f_a_to_s,bulk_14C,0.00445732701110424
grassland_mediterranean,f_a_to_s,ER_annual,2.279459026698816e-05
grassland_mediterranean,f_a_to_s,fraction_14C,3.6425844229391773e-09
grassland_mediterranean,f_a_to_s,resp_14C,0.0
grassland_mediterranean,f_s_to_p,fraction_12C,0.1401012681754675
grassland_mediterranean,f_s_to_p,C_stocks,0.08952124251127498
grassland_mediterranean,f_s_to_p,bulk_14C,0.08387611027726721
grassland_mediterranean,f_s_to_p,ER_annual,8.955147383094562e-07
grassland_mediterranean,f_s_to_p,fraction_14C,1.2787849634194317e-09
grassland_mediterranean,f_s_to_p,resp_14C,0.0
grassland_mediterranean,tau_active,fraction_12C,0.24111852681187304
grassland_mediterranean,tau_active,C_stocks,0.05854265935677852
grassland_mediterranean,tau_active,bulk_14C,0.020054620215411992
grassland_mediterranean,tau_active,ER_annual,0.0001778264651696276
grassland_mediterranean,tau_active,fraction_14C,1.9218113255078664e-07
grassland_mediterranean,tau_active,resp_14C,0.0
grassland_mediterranean,tau_passive,fraction_12C,0.1905801038641822
grassland_mediterranean,tau_passive,C_stocks,0.12335985588888894
grassland_mediterranean,tau_passive,bulk_14C,0.10885619111869772
grassland_mediterranean,tau_passive,ER_annual,1.2256706907613962e-06
grassland_mediterranean,tau_passive,fraction_14C,1.7516415741310723e-09
grassland_mediterranean,tau_passive,resp_14C,0.0
grassland_mediterranean,tau_slow,fraction_12C,0.2769066576309674
grassland_mediterranean,tau_slow,bulk_14C,0.08314386277858031
grassland_mediterranean,tau_slow,C_stocks,0.06670053063910489
grassland_mediterranean,tau_slow,ER_annual,1.5730591464038584e-06
grassland_mediterranean,tau_slow,fraction_14C,6.284457050025597e-09
grassland_mediterranean,tau_slow,resp_14C,0.0
peatland,f_a_to_s,C_stocks,0.08049365647342066
peatland,f_a_to_s,bulk_14C,0.034649525053724296
peatland,f_a_to_s,ER_annual,0.016972222753036875
peatland,f_a_to_s,resp_14C,0.009644031854635183
peatland,f_a_to_s,fraction_12C,0.0
peatland,f_a_to_s,fraction_14C,0.0
peatland,f_s_to_p,bulk_14C,0.05904769944610479
peatland,f_s_to_p,C_stocks,0.015350319541806549
peatland,f_s_to_p,resp_14C,0.0034629557204880527
peatland,f_s_to_p,ER_annual,0.0012899924142386228
peatland,f_s_to_p,fraction_12C,0.0
peatland,f_s_to_p,fraction_14C,0.0
peatland,tau_active,resp_14C,0.34282615244979714
peatland,tau_active,bulk_14C,0.19203696869558917
peatland,tau_active,ER_annual,0.139044991374157
peatland,tau_active,C_stocks,0.08228887057352686
peatland,tau_active,fraction_12C,0.0
peatland,tau_active,fraction_14C,0.0
peatland,tau_passive,bulk_14C,0.07870307711664262
peatland,tau_passive,C_stocks,0.017059932788509667
peatland,tau_passive,resp_14C,0.00681214528049514
peatland,tau_passive,ER_annual,0.0013747284326273725
peatland,tau_passive,fraction_12C,0.0
peatland,tau_passive,fraction_14C,0.0
peatland,tau_slow,C_stocks,0.04812096433190476
peatland,tau_slow,resp_14C,0.006314195151584441
peatland,tau_slow,ER_annual,0.0007395483597960853
peatland,tau_slow,bulk_14C,0.0003837454977102026
peatland,tau_slow,fraction_12C,0.0
peatland,tau_slow,fraction_14C,0.0
temperate_forest,f_a_to_s,C_stocks,0.1260254519592461
temperate_forest,f_a_to_s,resp_14C,0.07497435750457859
temperate_forest,f_a_to_s,fraction_12C,0.06354773246807718
temperate_forest,f_a_to_s,ER_annual,0.06305945061681464
temperate_forest,f_a_to_s,bulk_14C,0.02418388877760733
temperate_forest,f_a_to_s,fraction_14C,0.0006625748878410222
temperate_forest,f_s_to_p,bulk_14C,0.13560049791304035
temperate_forest,f_s_to_p,fraction_12C,0.07042749805818804
temperate_forest,f_s_to_p,C_stocks,0.04954920420796049
temperate_forest,f_s_to_p,resp_14C,0.03283498323027935
temperate_forest,f_s_to_p,ER_annual,0.014656893169098902
temperate_forest,f_s_to_p,fraction_14C,0.0003129227119206067
temperate_forest,tau_active,ER_annual,0.13339992064559386
temperate_forest,tau_active,resp_14C,0.12122054737580797
temperate_forest,tau_active,fraction_12C,0.09959490436244937
temperate_forest,tau_active,C_stocks,0.06835146129403469
temperate_forest,tau_active,bulk_14C,0.04975305983625017
temperate_forest,tau_active,fraction_14C,0.016853423124693755
temperate_forest,tau_passive,bulk_14C,0.1959253667998147
temperate_forest,tau_passive,fraction_12C,0.09220452531951
temperate_forest,tau_passive,C_stocks,0.0682175496955011
temperate_forest,tau_passive,resp_14C,0.010221626712963495
temperate_forest,tau_passive,ER_annual,0.002437838776120904
temperate_forest,tau_passive,fraction_14C,0.00042155296330157534
temperate_forest,tau_slow,fraction_12C,0.12658275562771332
temperate_forest,tau_slow,bulk_14C,0.12584975681935723
temperate_forest,tau_slow,C_stocks,0.06979343259738699
temperate_forest,tau_slow,fraction_14C,0.0059570761138766646
