biome_group,family,f_a_to_s,f_s_to_p,tau_active,tau_passive,tau_slow
arctic_permafrost,C_stocks,0.06611515125628396,0.026555189694981142,0.02855486202980895,0.09688710855597898,0.11191869348067446
arctic_permafrost,ER_annual,0.002847025415314517,0.00016020839125092958,0.0303780299369741,0.0002634521281881868,0.0010197206783971165
arctic_permafrost,bulk_14C,0.01870434080464123,0.09876452687127477,0.020035429212636974,0.2866267732306244,0.17302403087628893
arctic_permafrost,fraction_12C,0.0,0.0,0.0,0.0,0.0
arctic_permafrost,fraction_14C,0.0,0.0,0.0,0.0,0.0
arctic_permafrost,resp_14C,0.4290465521584126,0.4064833783561206,0.11011277900084411,0.05690022886511412,0.021894670704415642
boreal,C_stocks,0.17136546444136153,0.04090321942526085,0.07223226914346151,0.05862126449754394,0.10459559676941274
boreal,ER_annual,0.00033795007710741155,2.2522443807652553e-05,0.0112119034204089,2.6123487636069413e-05,5.8896445181379404e-05
boreal,bulk_14C,0.021528487532693603,0.11627357380330239,0.06337767675032838,0.15115253564992598,0.053589626760068364
boreal,fraction_12C,0.0,0.0,0.0,0.0,0.0
boreal,fraction_14C,0.0,0.0,0.0,0.0,0.0
boreal,resp_14C,0.10510921840494986,0.0167124559513607,0.03370124552212198,0.006308022476691447,0.001961740288413495
grassland_mediterranean,C_stocks,0.18021197616104198,0.08952124251127498,0.05854265935677852,0.12335985588888894,0.06670053063910489
grassland_mediterranean,ER_annual,2.279459026698816e-05,8.955147383094562e-07,0.0001778264651696276,1.2256706907613962e-06,1.5730591464038584e-06
grassland_mediterranean,bulk_14C,0.00445732701110424,0.08387611027726721,0.020054620215411992,0.10885619111869772,0.08314386277858031
grassland_mediterranean,fraction_12C,0.10022749380263418,0.1401012681754675,0.24111852681187304,0.1905801038641822,0.2769066576309674
grassland_mediterranean,fraction_14C,3.6425844229391773e-09,1.2787849634194317e-09,1.9218113255078664e-07,1.7516415741310723e-09,6.284457050025597e-09
grassland_mediterranean,resp_14C,0.0,0.0,0.0,0.0,0.0
peatland,C_stocks,0.08049365647342066,0.015350319541806549,0.08228887057352686,0.017059932788509667,0.04812096433190476
peatland,ER_annual,0.016972222753036875,0.0012899924142386228,0.139044991374157,0.0013747284326273725,0.0007395483597960853
peatland,bulk_14C,0.034649525053724296,0.05904769944610479,0.19203696869558917,0.07870307711664262,0.0003837454977102026
peatland,fraction_12C,0.0,0.0,0.0,0.0,0.0
peatland,fraction_14C,0.0,0.0,0.0,0.0,0.0
peatland,resp_14C,0.009644031854635183,0.0034629557204880527,0.34282615244979714,0.00681214528049514,0.006314195151584441
temperate_forest,C_stocks,0.1260254519592461,0.04954920420796049,0.06835146129403469,0.0682175496955011,0.06979343259738699
temperate_forest,ER_annual,0.06305945061681464,0.014656893169098902,0.13339992064559386,0.002437838776120904,0.003457137665608232
temperate_forest,bulk_14C,0.02418388877760733,0.13560049791304035,0.04975305983625017,0.1959253667998147,0.12584975681935723
temperate_forest,fraction_12C,0.06354773246807718,0.07042749805818804,0.09959490436244937,0.09220452531951,0.12658275562771332
temperate_forest,fraction_14C,0.0006625748878410222,0.0003129227119206067,0.016853423124693755,0.00042155296330157534,0.0059570761138766646
temperate_forest,resp_14C,0.07497435750457859,0.03283498323027935,0.12122054737580797,0.010221626712963495,0.004286214293282579
tropical,C_stocks,0.16776517730732635,0.06593334998397388,0.05605510479214717,0.09043958138260384,0.08016721608520913
tropical,ER_annual,4.591624005712805e-05,1.5749749811157436e-06,0.0003898215882383255,2.143387689987969e-06,1.8005106004899311e-06
tropical,bulk_14C,0.01809350904706282,0.11978152285427561,0.05127284726009809,0.1830801364150828,0.06478062767877232
tropical,fraction_12C,0.03915686038331139,0.056480845906518744,0.10894870866842891,0.08120606611148286,0.12020391394657898
tropical,fraction_14C,8.182620961214928e-10,5.727128192616577e-10,6.45939074851264e-08,8.358391304182434e-10,1.2588238242063955e-08
tropical,resp_14C,0.049214252644834026,0.021717711717530116,0.03327973202648269,0.010411127497782268,0.006297401218801522
