site_id,site_label,subset_key,subset_label,sampler,n_obs,converged,cost_final,acceptance_rate,proposal_scale_final
US-Ha1,Harvard Forest,prior_only,Prior,mcmc,0,True,,,
US-Ha1,Harvard Forest,stocks_only,Stocks,mcmc,3,True,4.038032054901123,0.5555555555555556,0.3005829838968489
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,mcmc,6,True,9.135560989379883,0.6666666666666666,0.3005829838968489
US-Ha1,Harvard Forest,resp14c_only,Resp 14C,mcmc,41,True,21.8480281829834,0.7222222222222222,0.3005829838968489
US-Ha1,Harvard Forest,stocks_soil14c,"Stocks+
Pool 14C",mcmc,9,True,10.65947437286377,0.6666666666666666,0.3005829838968489
US-Ha1,Harvard Forest,stocks_resp14c,"Stocks+
Resp 14C",mcmc,44,True,25.867563247680664,0.5555555555555556,0.3005829838968489
US-Ha1,Harvard Forest,all_observations,All,mcmc,50,True,72.02510070800781,0.6666666666666666,0.3005829838968489
US-A10,Barrow,prior_only,Prior,mcmc,0,True,,,
US-A10,Barrow,stocks_only,Stocks,mcmc,2,True,2.112804889678955,0.7222222222222222,0.3005829838968489
US-A10,Barrow,soil14c_only,Pool 14C,mcmc,6,True,10.311767578125,0.6666666666666666,0.3005829838968489
US-A10,Barrow,resp14c_only,Resp 14C,mcmc,14,True,16.34373664855957,0.5555555555555556,0.3005829838968489
US-A10,Barrow,stocks_soil14c,"Stocks+
Pool 14C",mcmc,8,True,17.111316680908203,0.5555555555555556,0.3005829838968489
US-A10,Barrow,stocks_resp14c,"Stocks+
Resp 14C",mcmc,16,True,16.74940299987793,0.5555555555555556,0.3005829838968489
US-A10,Barrow,all_observations,All,mcmc,19,True,26.926822662353516,0.5,0.3005829838968489
US-Ho1,Howland Forest,prior_only,Prior,mcmc,0,True,,,
US-Ho1,Howland Forest,stocks_only,Stocks,mcmc,3,True,5.387192726135254,0.7222222222222222,0.3005829838968489
US-Ho1,Howland Forest,soil14c_only,Pool 14C,mcmc,12,True,249.78416442871094,0.5,0.3005829838968489
US-Ho1,Howland Forest,resp14c_only,Resp 14C,mcmc,11,True,11.546977996826172,0.7777777777777778,0.3005829838968489
US-Ho1,Howland Forest,stocks_soil14c,"Stocks+
Pool 14C",mcmc,15,True,250.2127227783203,0.6666666666666666,0.3005829838968489
US-Ho1,Howland Forest,stocks_resp14c,"Stocks+
Resp 14C",mcmc,14,True,13.94961166381836,0.6666666666666666,0.3005829838968489
US-Ho1,Howland Forest,all_observations,All,mcmc,26,True,254.8136749267578,0.7222222222222222,0.3005829838968489
US-EML,Eight-mile Lake,prior_only,Prior,mcmc,0,True,,,
US-EML,Eight-mile Lake,stocks_only,Stocks,mcmc,3,True,6.1840901374816895,0.6111111111111112,0.24046638711747914
US-EML,Eight-mile Lake,soil14c_only,Pool 14C,mcmc,8,True,216.44883728027344,0.6666666666666666,0.3005829838968489
US-EML,Eight-mile Lake,resp14c_only,Resp 14C,mcmc,12,True,20.128623962402344,0.8888888888888888,0.3005829838968489
US-EML,Eight-mile Lake,stocks_soil14c,"Stocks+
Pool 14C",mcmc,11,True,217.01473999023438,0.6666666666666666,0.3005829838968489
US-EML,Eight-mile Lake,stocks_resp14c,"Stocks+
Resp 14C",mcmc,15,True,20.82069206237793,0.8333333333333334,0.3005829838968489
US-EML,Eight-mile Lake,all_observations,All,mcmc,20,True,86.68606567382812,0.6111111111111112,0.3005829838968489
