site_id,site_label,subset_key,subset_label,sample_idx,frac_loss,abs_loss,old_fraction
US-Ha1,Harvard Forest,prior_only,Prior,0,0.1992119965665793,1247.007568359375,0.7768643219339534
US-Ha1,Harvard Forest,prior_only,Prior,1,0.2058844742358592,557.1885681152344,0.8170084339708542
US-Ha1,Harvard Forest,prior_only,Prior,2,0.22906328092503403,913.576904296875,0.5857788816794229
US-Ha1,Harvard Forest,prior_only,Prior,3,0.19752406602570968,920.0250244140625,0.6059757227614417
US-Ha1,Harvard Forest,prior_only,Prior,4,0.21509130249951294,1761.547119140625,0.7842086514810085
US-Ha1,Harvard Forest,prior_only,Prior,5,0.22426954911373972,1122.3915557861328,0.7267032596954446
US-Ha1,Harvard Forest,stocks_only,Stocks,0,0.17936730338081647,1698.5740966796875,0.832938052877693
US-Ha1,Harvard Forest,stocks_only,Stocks,1,0.17936730338081647,1698.5740966796875,0.832938052877693
US-Ha1,Harvard Forest,stocks_only,Stocks,2,0.18285641135744818,1815.52490234375,0.8542557144663613
US-Ha1,Harvard Forest,stocks_only,Stocks,3,0.18285641135744818,1815.52490234375,0.8542557144663613
US-Ha1,Harvard Forest,stocks_only,Stocks,4,0.18285641135744818,1815.52490234375,0.8542557144663613
US-Ha1,Harvard Forest,stocks_only,Stocks,5,0.18177258589170733,1966.3560791015625,0.8707129895591428
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,0,0.1668114610705751,1810.0979614257812,0.8803698655277377
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,1,0.1668114610705751,1810.0979614257812,0.8803698655277377
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,2,0.1668114610705751,1810.0979614257812,0.8803698655277377
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,3,0.1662787867351597,1804.9703369140625,0.8805935996447292
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,4,0.16909897793893094,1835.4598999023438,0.8834394510078241
US-Ha1,Harvard Forest,soil14c_only,Pool 14C,5,0.16909897793893094,1835.4598999023438,0.8834394510078241
US-Ha1,Harvard Forest,resp14c_only,Resp 14C,0,0.201913209591146,1579.7296142578125,0.8732822480356427
US-Ha1,Harvard Forest,resp14c_only,Resp 14C,1,0.201913209591146,1579.7296142578125,0.8732822480356427
US-Ha1,Harvard Forest,resp14c_only,Resp 14C,2,0.19479352052000107,1582.1124267578125,0.8772874100004535
US-Ha1,Harvard Forest,resp14c_only,Resp 14C,3,0.19479352052000107,1582.1124267578125,0.8772874100004535
US-Ha1,Harvard Forest,resp14c_only,Resp 14C,4,0.19479352052000107,1582.1124267578125,0.8772874100004535
US-Ha1,Harvard Forest,resp14c_only,Resp 14C,5,0.18898326086812647,1547.6655883789062,0.8667279759847496
US-Ha1,Harvard Forest,stocks_soil14c,"Stocks+
Pool 14C",0,0.15434358157850725,1676.6627197265625,0.8504032622644144
US-Ha1,Harvard Forest,stocks_soil14c,"Stocks+
Pool 14C",1,0.15384889731637716,1669.5083618164062,0.8467663144870384
US-Ha1,Harvard Forest,stocks_soil14c,"Stocks+
Pool 14C",2,0.15384889731637716,1669.5083618164062,0.8467663144870384
US-Ha1,Harvard Forest,stocks_soil14c,"Stocks+
Pool 14C",3,0.15702351936774714,1707.1340942382812,0.8567467501442052
US-Ha1,Harvard Forest,stocks_soil14c,"Stocks+
Pool 14C",4,0.15702351936774714,1707.1340942382812,0.8567467501442052
US-Ha1,Harvard Forest,stocks_soil14c,"Stocks+
Pool 14C",5,0.15876053141612298,1728.2523193359375,0.8600174833287917
