ecosystem,observation_type,mean_delta14c_permil,ci95_low_permil,ci95_high_permil,n_obs
Harvard Forest,respired_carbon,101.54815208621142,93.61188967634992,109.09011580769608,41
Harvard Forest,fraction_specific_soil,-8.440547506014505,-51.23200329144796,31.60881753762563,6
Barrow,bulk_soil,-305.3696975708008,-521.2000122070312,-116.10909271240234,3
Barrow,respired_carbon,16.701666636126383,5.004785230330058,26.427622159038272,14
Howland Forest,bulk_soil,112.68685913085938,41.33236757005964,185.8859383719308,7
Howland Forest,respired_carbon,119.91453066739169,114.40171370072798,126.41410997564142,11
Howland Forest,fraction_specific_soil,15.372666931152343,-47.41733245849609,80.2959991455078,5
Eight-mile Lake,bulk_soil,-342.4532051086426,-579.0341796875,-57.28982162475586,3
Eight-mile Lake,respired_carbon,49.79011551539103,41.816539327303566,56.33152302106221,12
Eight-mile Lake,fraction_specific_soil,302.9978256225586,238.0065155029297,367.9891357421875,2
