ecosystem,mode,posterior_median_years,posterior_q05_years,posterior_q95_years,prior_median_years,prior_q05_years,prior_q95_years,boundary_contact_indicator
Harvard Forest,fast,2.2277323143825103,2.214275799491455,2.2416851327604923,,,,False
Harvard Forest,intermediate,34.526702366822725,30.907800698554208,36.26842785393447,,,,False
Harvard Forest,slow,329.863493815222,290.49152685625023,354.8329601712378,,,,False
Barrow,fast,5.142496675049638,5.084861011422059,5.17327022240423,,,,False
Barrow,intermediate,23.74158158255186,22.924019451414306,27.020255647764607,,,,False
Barrow,slow,2118.453894355951,1850.5363881343878,2289.9837619001128,,,,False
Howland Forest,fast,8.747076712891646,8.726271863849737,8.749779348773933,,,,False
Howland Forest,intermediate,25.019869858453408,21.463812251152355,26.5990237829773,,,,False
Howland Forest,slow,369.1534548012004,315.1985322045035,407.28188376572126,,,,False
Eight-mile Lake,fast,23.87146896624221,23.820790792818887,23.889578157207723,,,,False
Eight-mile Lake,intermediate,38.1109552589771,36.30243707043833,42.332503147872785,,,,False
Eight-mile Lake,slow,1225.8729685268468,1127.249305775628,1616.2338534135515,,,,False
