ecosystem,observation_subset,draw,year,carbon_loss,excess_respiration,slow_excess_respiration,slow_fraction_of_excess_respiration
Harvard Forest,prior_only,0,100,1247.007568359375,1247.48561387762,155.67075962303215,0.1247876191046029
Harvard Forest,prior_only,1,100,557.1885681152344,558.6214167091999,85.92716931914549,0.1538200411744621
Harvard Forest,prior_only,2,100,913.576904296875,913.829081111484,93.93854869695326,0.10279662864602257
Harvard Forest,prior_only,3,100,920.0250244140625,920.3145630600202,222.3573022387186,0.24161010937324168
Harvard Forest,prior_only,4,100,1761.547119140625,1761.6726656152473,273.2390370031967,0.15510204723972973
Harvard Forest,prior_only,5,100,1122.3915557861328,1122.8221369995626,76.42228031513503,0.06806267688963884
Harvard Forest,prior_only,6,100,1392.4092407226562,1392.869923183816,176.78029663274685,0.12691802277463443
Harvard Forest,prior_only,7,100,1655.5416259765625,1656.1004209777302,303.28487631867665,0.18313193600882188
Harvard Forest,prior_only,8,100,1417.9885864257812,1418.5922516090743,138.0506167048527,0.09731521975272689
Harvard Forest,prior_only,9,100,880.5250854492188,880.846457179322,180.06711546468614,0.20442508906864823
Harvard Forest,prior_only,10,100,1419.2095947265625,1420.2506943552582,144.81364707331,0.10196344043264143
Harvard Forest,prior_only,11,100,803.4923095703126,804.1593231066786,254.25997949355815,0.31618110017214635
Harvard Forest,stocks_only,0,100,1556.1619873046875,1556.480689429092,303.0711703360573,0.194715663608536
Harvard Forest,stocks_only,1,100,1530.3488159179688,1530.7940515511057,274.0722532321672,0.17903927243149292
Harvard Forest,stocks_only,2,100,1530.3488159179688,1530.7940515511057,274.0722532321672,0.17903927243149292
Harvard Forest,stocks_only,3,100,1572.3373413085938,1572.6210437344937,273.1081152811014,0.17366428890748734
Harvard Forest,stocks_only,4,100,1572.3373413085938,1572.6210437344937,273.1081152811014,0.17366428890748734
Harvard Forest,stocks_only,5,100,1408.9805297851562,1409.717771943165,281.3503135262629,0.1995791775671861
Harvard Forest,stocks_only,6,100,1528.8627319335938,1529.3525774147724,285.9179150438554,0.1869535640546491
Harvard Forest,stocks_only,7,100,1528.8627319335938,1529.3525774147724,285.9179150438554,0.1869535640546491
Harvard Forest,stocks_only,8,100,1696.0,1696.2652553535704,288.45735555893634,0.17005439134506717
Harvard Forest,stocks_only,9,100,1632.8949584960938,1633.227280530866,296.5084661258045,0.18154758352397043
Harvard Forest,stocks_only,10,100,1640.637451171875,1641.1470725092686,279.9243774327979,0.17056629605096954
Harvard Forest,stocks_only,11,100,1606.7691040039062,1607.000254564198,308.8707745691934,0.19220331402682694
Harvard Forest,soil14c_only,0,100,1936.5245361328125,1936.6757240129996,733.2005034717426,0.3785871296783091
Harvard Forest,soil14c_only,1,100,1936.5245361328125,1936.6757240129996,733.2005034717426,0.3785871296783091
Harvard Forest,soil14c_only,2,100,1978.779296875,1979.0245362384412,772.3395261168444,0.3902627339754163
Harvard Forest,soil14c_only,3,100,1970.1793823242188,1970.4823574692064,769.2976601119872,0.3904108337717047
Harvard Forest,soil14c_only,4,100,1952.3147583007812,1952.4522964221792,756.625757582558,0.38752586117932614
Harvard Forest,soil14c_only,5,100,1927.9201049804688,1927.7832160132934,718.2932820774881,0.3726006514170912
Harvard Forest,soil14c_only,6,100,1927.9201049804688,1927.7832160132934,718.2932820774881,0.3726006514170912
Harvard Forest,soil14c_only,7,100,1923.6890258789062,1923.7576220805354,718.9112353903006,0.3737015656955793
Harvard Forest,soil14c_only,8,100,1951.390625,1951.7230385985295,778.311149156807,0.39878155545865135
