ecosystem,observation_subset,n,q05,median,q95,q25,q75,mean,sd
Harvard Forest,prior_only,12,692.6556259155275,1184.699562072754,1703.2440979003904,905.3139495849609,1418.2938385009766,1174.2419319152832,367.87236604120636
Harvard Forest,stocks_only,12,1474.9157409667969,1564.2496643066406,1665.5505981445312,1529.977294921875,1613.3005676269531,1567.045150756836,73.06739595711733
Harvard Forest,soil14c_only,12,1926.0161193847657,1936.5245361328125,1974.0493438720703,1929.6333312988281,1951.6216583251953,1942.5304158528645,17.620682853076804
Harvard Forest,resp14c_only,12,1481.0718383789062,1527.3047485351562,1553.6877746582031,1481.0718383789062,1548.305160522461,1519.4839935302734,32.106060218534985
Harvard Forest,stocks_soil14c,12,1561.4833984375,1653.5370483398438,1709.726055908203,1591.3581085205078,1672.6502685546875,1636.4384765625,55.36609131039864
Harvard Forest,stocks_resp14c,12,1439.6055908203125,1491.5155029296875,1532.0610229492188,1466.0933532714844,1506.9454345703125,1486.2183329264324,34.32885333756104
Harvard Forest,all_observations,12,1363.0264282226562,1380.8646240234375,1413.978237915039,1368.9904174804688,1402.4171142578125,1385.5137023925781,19.778126257516444
Barrow,prior_only,12,547.4243556976319,1319.635986328125,2098.8391723632812,954.1442489624023,1670.8789596557617,1318.299123764038,563.5552272093473
Barrow,stocks_only,12,1960.0138732910157,2169.938995361328,2299.117329406738,2114.5387573242188,2200.5044860839844,2151.794502258301,135.33492845920316
Barrow,soil14c_only,12,1654.1673583984375,1659.5548400878906,1696.45166015625,1654.1673583984375,1672.9309692382812,1667.019495646159,16.340737726508063
Barrow,resp14c_only,12,1477.093081665039,1560.69287109375,1924.3582153320312,1551.8037567138672,1806.9690856933594,1652.3128967285156,180.6665845394193
Barrow,stocks_soil14c,12,1409.1927429199218,1438.56298828125,1476.9878356933593,1414.4645690917969,1444.4503784179688,1436.5663553873699,23.550750727999386
Barrow,stocks_resp14c,12,1957.8055084228515,2170.922637939453,2254.96032409668,2064.249221801758,2239.879364013672,2137.955540974935,121.28141101703031
Barrow,all_observations,12,1243.7465026855468,1270.1205444335938,1284.2669067382812,1265.2503662109375,1274.7321166992188,1267.7603658040364,14.732441035546998
Howland Forest,prior_only,12,408.7158973693847,525.192138671875,1571.8828582763672,451.1478042602539,762.554443359375,714.2283490498861,423.5970965823249
Howland Forest,stocks_only,12,399.35621185302733,450.47251892089844,587.2056579589844,435.7708969116211,526.4203720092773,481.2502187093099,71.98617804223697
Howland Forest,soil14c_only,12,839.2693176269531,882.87744140625,898.4455780029297,859.5933074951172,892.2913208007812,875.2038370768229,22.781798551886148
Howland Forest,resp14c_only,12,1126.5644653320312,1189.4113464355469,1229.8879486083983,1176.2594146728516,1199.0337524414062,1184.1615193684895,39.21649413399021
Howland Forest,stocks_soil14c,12,903.5304565429688,915.2496795654297,929.7200866699219,909.7955474853516,918.3215789794922,915.4746246337891,9.568355597921414
Howland Forest,stocks_resp14c,12,948.3571640014649,998.3730316162109,1008.5220962524414,984.2689361572266,1002.2537612915039,988.8517328898112,24.26106833903242
Howland Forest,all_observations,12,875.6021728515625,890.7184143066406,908.74853515625,885.3165893554688,901.4894104003906,892.7479960123698,12.31485962514333
Eight-mile Lake,prior_only,12,1734.367694091797,2685.5083618164062,3462.456018066406,2150.9862365722656,2929.8674926757812,2614.354695638021,594.318982523824
Eight-mile Lake,stocks_only,12,3496.4329162597655,3886.5011596679688,4181.031420898437,3782.6717529296875,3997.480712890625,3868.760986328125,231.91738856935206
Eight-mile Lake,soil14c_only,12,8305.718579101562,8428.174072265625,8482.669384765624,8395.259155273438,8457.308471679688,8415.966918945312,62.48571816107548
Eight-mile Lake,resp14c_only,12,8411.46220703125,8592.658203125,8891.43916015625,8507.96484375,8737.3271484375,8627.878662109375,172.10071401612936
Eight-mile Lake,stocks_soil14c,12,8520.71484375,8620.087646484375,8696.8046875,8602.825439453125,8677.808227539062,8627.66552734375,62.32488696148553
Eight-mile Lake,stocks_resp14c,12,8177.20751953125,8319.0078125,8430.0693359375,8206.167114257812,8388.533203125,8306.738403320312,100.88119320082701
Eight-mile Lake,all_observations,12,8184.671875,8271.852294921875,8305.1884765625,8199.850219726562,8292.454223632812,8252.561116536459,50.89899783219818
