ecosystem,observation_subset,n,q05,median,q95,q25,q75,mean,sd
Harvard Forest,prior_only,12,0.08415157546433727,0.14036903197454825,0.2751670552327487,0.10258833159267729,0.18845522427377848,0.15634282755310977,0.07059471644877109
Harvard Forest,stocks_only,12,0.17033593893331347,0.18029342797773168,0.19690424488992855,0.17366428890748734,0.18826600154769357,0.1823317230758179,0.00978268470530266
Harvard Forest,soil14c_only,12,0.3722822738065066,0.3785871296783091,0.3987501107778334,0.3726006514170912,0.39029975892448837,0.3821955869330167,0.010392916647780883
Harvard Forest,resp14c_only,12,0.12385492462504209,0.1459564233004114,0.16413270532437113,0.12385492462504209,0.15761207393228124,0.14401403727815842,0.01689605219186378
Harvard Forest,stocks_soil14c,12,0.2688930620705432,0.3008973358227439,0.3248959665890858,0.27501664272597015,0.30800106154785406,0.29596258045269236,0.021857082128602014
Harvard Forest,stocks_resp14c,12,0.2551294314116751,0.26690890258015804,0.2873524469597276,0.2619829804653895,0.2757303891926308,0.26970037148292636,0.012465798608638229
Harvard Forest,all_observations,12,0.20126090522581777,0.2136562498195728,0.23647787746476376,0.20971341056410892,0.2209324190910799,0.21631873403546084,0.012369062655584975
Barrow,prior_only,12,0.022296191093382114,0.06955529622063034,0.11282954564446457,0.04987559005284157,0.086359028114787,0.06881438768392968,0.032124423001787805
Barrow,stocks_only,12,0.04216390778852225,0.0499606691906251,0.05272979712615107,0.04775365864048371,0.050359824489979284,0.04873963844357532,0.0037648658893037167
Barrow,soil14c_only,12,0.07986494252660833,0.08149052743260965,0.1197288339903103,0.07986494252660833,0.09317180324296453,0.0894119183044428,0.015114637340096649
Barrow,resp14c_only,12,0.02902108443510679,0.03249749889660068,0.03546194409643169,0.030472786386389845,0.03379200679220576,0.032207674554132364,0.0024461506250621685
Barrow,stocks_soil14c,12,0.05517944918806728,0.06526097781523421,0.07032277020830553,0.05780261980303127,0.0666808149182365,0.06347845709607264,0.005698734620626454
Barrow,stocks_resp14c,12,0.043593330580036525,0.06006236889290797,0.06932929340104443,0.0505265093883101,0.0676381430922177,0.05822541919665012,0.01014376044391643
Barrow,all_observations,12,0.06260746091168767,0.06789571748794099,0.07515864517672063,0.06649099526103243,0.06986180114620395,0.06847129094192352,0.004472780127766149
Howland Forest,prior_only,12,0.1649230810622019,0.3486230825962506,0.4931275242225802,0.32019999710759206,0.4564960660133195,0.36011801941898414,0.1131174258655145
Howland Forest,stocks_only,12,0.41617414046704704,0.4430621971485162,0.5206061908496632,0.43404571598820896,0.4962086498237779,0.46331252454228605,0.04179814204754646
Howland Forest,soil14c_only,12,0.20539954545982064,0.26971509711241126,0.2907723434551153,0.23499035173368105,0.2827893373259378,0.2583635866477467,0.03280876230482044
Howland Forest,resp14c_only,12,0.32490699418783514,0.3348047488386004,0.39569431974062236,0.3259247314882097,0.3751319447302044,0.3503010499693813,0.028693474040688633
Howland Forest,stocks_soil14c,12,0.2907720974349858,0.3090032238453221,0.32171560044908154,0.29812103755742175,0.3100595938400141,0.30656771030929125,0.01164504888087075
Howland Forest,stocks_resp14c,12,0.35556703560459624,0.3847958596122404,0.40776342845673424,0.3732936892553609,0.4009201872268019,0.3848566638537378,0.021517117746742635
Howland Forest,all_observations,12,0.2526754335067345,0.27252647182699363,0.30518984746726957,0.2646612533494753,0.2964510114472716,0.27891943711101963,0.020650023563399542
Eight-mile Lake,prior_only,12,0.017124039439778343,0.02605048638640669,0.05867714295435068,0.02328784257793498,0.03777057097638804,0.03148084984682024,0.014648143007354607
Eight-mile Lake,stocks_only,12,0.033943507892379564,0.04034342951751316,0.06384953524345076,0.03770604479741008,0.058418651471344424,0.04656776118324976,0.012256143793607049
Eight-mile Lake,soil14c_only,12,0.01698679408596883,0.021027524554231056,0.023878136982904405,0.01815830517189056,0.022702327250360248,0.020682591144850295,0.0026130262044101586
Eight-mile Lake,resp14c_only,12,0.022426506566624604,0.027394170655256872,0.03863024066014784,0.023395225283943076,0.03123043956552707,0.028475559325705325,0.005890506929124061
Eight-mile Lake,stocks_soil14c,12,0.015179919969130977,0.01754604096494556,0.022496638042983994,0.016434310383974172,0.018533281515378273,0.01797351267783188,0.002759961161248491
Eight-mile Lake,stocks_resp14c,12,0.014661892860591778,0.018698631220862127,0.022688058216200326,0.016301551883460337,0.02081537026197862,0.018653675794729523,0.003069942814113037
Eight-mile Lake,all_observations,12,0.011753053242291575,0.015515816970746657,0.01655406225149072,0.014621991976046128,0.01641278539536638,0.014975539846921815,0.0017589777153837528
