biome,pathway,n_sites,dfs_tau_mean,uncertainty_reduction_mean
boreal forest,bulk_resp,1,2.319319427013397,0.5969656291537871
boreal forest,combined,1,2.319319427013397,0.5969656291537871
boreal wet forest/fire,bulk_resp,1,2.1198507249355316,0.5446240310178267
boreal wet forest/fire,combined,1,2.1198507249355316,0.5446240310178267
cool-temperate forest,bulk_resp,1,2.003896862268448,0.4512131233778035
cool-temperate forest,combined,1,2.075300872325897,0.4649433556616551
cool-temperate forest,fraction,1,1.8490374386310575,0.3917924270451292
temperate deciduous forest,bulk_resp,1,2.10727921128273,0.5279824182791626
temperate deciduous forest,combined,2,2.149352118372917,0.5284106814594738
temperate deciduous forest,fraction,2,2.0533329993486404,0.47845516299308377
temperate evergreen forest,bulk_resp,1,2.4875974655151367,0.6883843519515871
temperate evergreen forest,combined,1,2.3095808029174805,0.6113904364785975
temperate evergreen forest,fraction,1,2.0642994344234467,0.539341795488109
temperate forest,bulk_resp,1,2.099590390920639,0.5413499575558912
temperate forest,combined,1,2.1589023172855377,0.5603145463627605
temperate forest,fraction,1,2.150173932313919,0.5387345853566665
temperate mixed forest,combined,2,2.160607725381851,0.5579471933335032
temperate mixed forest,fraction,2,2.1590074449777603,0.5558912787433161
temperate peatland,bulk_resp,1,1.961498975753784,0.4208656444328458
temperate peatland,combined,1,1.961498975753784,0.4208656444328458
tropical moist forest,bulk_resp,2,2.1257922798395157,0.5465024632379619
tropical moist forest,combined,2,2.1257922798395157,0.5465024632379619
tropical peat forest,bulk_resp,1,1.963633120059967,0.4236374248387595
tropical peat forest,combined,1,1.963633120059967,0.4236374248387595
tundra/permafrost,bulk_resp,1,2.3149377703666687,0.5946859968794805
tundra/permafrost,combined,1,2.560261368751526,0.7087828871680776
tundra/permafrost,fraction,1,1.708316534757614,0.4494217359555466
