ecosystem,model_source,draw_or_member,mode,turnover_time_years,carbon_stock,baseline_respiration,warm_respiration,cumulative_carbon_loss,slow_carbon_fraction_of_excess_respiration
Harvard Forest,observation_constrained,0,fast,2.2277323143825103,1240.860107421875,312.6374656817609,312.6374656817609,432.7371826171875,0.0
Harvard Forest,observation_constrained,0,intermediate,30.907800698554208,4183.912109375,92.8080494471338,92.8080494471338,1004.230712890625,0.0
Harvard Forest,observation_constrained,0,slow,331.72878992985767,5033.5341796875,11.722686845343373,11.722686845343373,199.97412109375,0.20971341056410836
Harvard Forest,observation_constrained,1,fast,2.2277323143825103,1240.860107421875,312.6374656817609,312.6374656817609,432.7371826171875,0.0
Harvard Forest,observation_constrained,1,intermediate,30.907800698554208,4183.912109375,92.8080494471338,92.8080494471338,1004.230712890625,0.0
Harvard Forest,observation_constrained,1,slow,331.72878992985767,5033.5341796875,11.722686845343373,11.722686845343373,199.97412109375,0.20971341056410836
Harvard Forest,observation_constrained,2,fast,2.2416851327604923,1248.632080078125,326.23422959342497,326.23422959342497,434.70806884765625,0.0
Harvard Forest,observation_constrained,2,intermediate,35.55319145762661,4164.193359375,78.96129641320303,78.96129641320303,972.075927734375,0.0
Harvard Forest,observation_constrained,2,slow,334.27350314285184,4971.31591796875,11.489647813700238,11.489647813700238,184.18212890625,0.21315593185011386
Harvard Forest,observation_constrained,3,fast,2.2416851327604923,1248.632080078125,326.23422959342497,326.23422959342497,434.70806884765625,0.0
Harvard Forest,observation_constrained,3,intermediate,35.55319145762661,4164.193359375,78.96129641320303,78.96129641320303,972.075927734375,0.0
Harvard Forest,observation_constrained,3,slow,334.27350314285184,4971.31591796875,11.489647813700238,11.489647813700238,184.18212890625,0.21315593185011386
Harvard Forest,observation_constrained,4,fast,2.238374999822002,1246.7882080078125,323.2729154640298,323.2729154640298,434.24127197265625,0.0
Harvard Forest,observation_constrained,4,intermediate,34.67330997404491,4198.81103515625,82.64706791077145,82.64706791077145,985.643310546875,0.0
Harvard Forest,observation_constrained,4,slow,354.8329601712378,4991.890625,10.868720223153879,10.868720223153879,177.40966796875,0.20126090522581835
Harvard Forest,observation_constrained,5,fast,2.238374999822002,1246.7882080078125,323.2729154640298,323.2729154640298,434.24127197265625,0.0
Harvard Forest,observation_constrained,5,intermediate,34.67330997404491,4198.81103515625,82.64706791077145,82.64706791077145,985.643310546875,0.0
Harvard Forest,observation_constrained,5,slow,354.8329601712378,4991.890625,10.868720223153879,10.868720223153879,177.40966796875,0.20126090522581835
Harvard Forest,observation_constrained,6,fast,2.2363042505856483,1245.634765625,322.35054332743937,322.35054332743937,433.94842529296875,0.0
Harvard Forest,observation_constrained,6,intermediate,34.38009475960054,4205.57861328125,82.62146580545456,82.62146580545456,989.035400390625,0.0
Harvard Forest,observation_constrained,6,slow,324.56543954037664,4975.7802734375,11.843940563678299,11.843940563678299,192.49267578125,0.2155331468799889
Harvard Forest,observation_constrained,7,fast,2.224435359686831,1239.0238037109375,319.1363020350643,319.1363020350643,432.27093505859375,0.0
Harvard Forest,observation_constrained,7,intermediate,33.21648532683856,4204.56396484375,83.64620548879745,83.64620548879745,995.877685546875,0.0
Harvard Forest,observation_constrained,7,slow,270.14407217322065,4931.7685546875,14.104072835552877,14.104072835552877,228.3916015625,0.24663682151771196
Harvard Forest,observation_constrained,8,fast,2.2202707378922213,1236.7039794921875,319.07038144996295,319.07038144996295,431.6822509765625,0.0
Harvard Forest,observation_constrained,8,intermediate,33.31489507085419,4219.04296875,85.50853507096141,85.50853507096141,998.718017578125,0.0
Harvard Forest,observation_constrained,8,slow,310.81414620006046,4943.52392578125,12.28777263267002,12.28777263267002,201.78662109375,0.2203289567771597
Harvard Forest,observation_constrained,9,fast,2.2158011445028873,1234.2144775390625,327.20487914498204,327.20487914498204,431.04986572265625,0.0
Harvard Forest,observation_constrained,9,intermediate,36.44921318136728,4214.9296875,76.83936806339707,76.83936806339707,978.3037109375,0.0
Harvard Forest,observation_constrained,9,slow,307.1394443241835,4955.16748046875,12.464074957482826,12.464074957482826,196.17919921875,0.22816601414871526
Harvard Forest,observation_constrained,10,fast,2.2133966258193936,1232.8751220703125,326.33706920038685,326.33706920038685,430.7088623046875,0.0
Harvard Forest,observation_constrained,10,intermediate,36.1205125860349,4218.59375,78.05271540718583,78.05271540718583,981.252685546875,0.0
Harvard Forest,observation_constrained,10,slow,316.7999577510457,4978.6142578125,12.141173854270715,12.141173854270715,192.541015625,0.22274280603284233
Harvard Forest,observation_constrained,11,fast,2.21499512340496,1233.7655029296875,321.4131688853029,321.4131688853029,430.93463134765625,0.0
Harvard Forest,observation_constrained,11,intermediate,34.254029339109834,4228.50048828125,83.54601949726435,83.54601949726435,995.25,0.0
Harvard Forest,observation_constrained,11,slow,327.9981977005863,5002.6298828125,11.78322676097711,11.78322676097711,192.07958984375,0.21415656778903178
Harvard Forest,CESM,0,fast,0.37607091665267944,209.4737548828125,290.31722176956407,323.5148855863251,118.24754333496094,0.0
Harvard Forest,CESM,0,intermediate,20.120471954345703,2640.9052734375,88.63341034620834,116.53968513705438,673.5721435546875,0.0
Harvard Forest,CESM,0,slow,234.21286010742188,3789.036865234375,12.498379654921152,16.491616011387098,242.472412109375,0.33807206530541273
Barrow,observation_constrained,0,fast,5.110931997620573,4528.13037109375,72.08657342646285,72.08657342646285,3689.2835083007812,0.0
Barrow,observation_constrained,0,intermediate,22.924019451414306,4036.037841796875,14.739228410890082,14.739228410890082,1662.697265625,0.0
Barrow,observation_constrained,0,slow,1850.5363881343878,21125.716796875,0.5625710761125193,0.5625710761125193,13.24609375,0.07515864517672063
Barrow,observation_constrained,1,fast,5.110931997620573,4528.13037109375,72.08657342646285,72.08657342646285,3689.2835083007812,0.0
Barrow,observation_constrained,1,intermediate,22.924019451414306,4036.037841796875,14.739228410890082,14.739228410890082,1662.697265625,0.0
Barrow,observation_constrained,1,slow,1850.5363881343878,21125.716796875,0.5625710761125193,0.5625710761125193,13.24609375,0.07515864517672063
Barrow,observation_constrained,2,fast,5.110931997620573,4528.13037109375,72.08657342646285,72.08657342646285,3689.2835083007812,0.0
Barrow,observation_constrained,2,intermediate,22.924019451414306,4036.037841796875,14.739228410890082,14.739228410890082,1662.697265625,0.0
Barrow,observation_constrained,2,slow,1850.5363881343878,21125.716796875,0.5625710761125193,0.5625710761125193,13.24609375,0.07515864517672063
