ecosystem,observation_subset,observation_subset_label,mode,degrees_of_freedom,averaging_kernel_diagonal,posterior_sd,prior_sd,uncertainty_reduction_fraction,information_gain_nats
Harvard Forest,prior_only,Prior,fast,0.3829027242999683,0.3829027242999683,0.3927776965727661,0.5,0.3829027242999683,0.24136430417319216
Harvard Forest,prior_only,Prior,intermediate,0.0,0.0,0.46679868199987146,0.4109589159488678,0.0,-0.12740482862432104
Harvard Forest,prior_only,Prior,slow,0.3679001975269296,0.3679001975269296,0.3975235220943128,0.5,0.3679001975269296,0.22935399099854892
Harvard Forest,stocks_only,Stocks,fast,0.9906024089445464,0.9906024089445464,0.04847058658468453,0.5,0.9906024089445464,2.3336509466227753
Harvard Forest,stocks_only,Stocks,intermediate,0.9270737856350476,0.9270737856350476,0.11097885556304544,0.4109589159488678,0.9270737856350476,1.3091535555610974
Harvard Forest,stocks_only,Stocks,slow,0.9817930280816048,0.9817930280816048,0.06746660640345559,0.5,0.9817930280816048,2.002975342906803
Harvard Forest,soil14c_only,Soil 14C,fast,0.9998034955790366,0.9998034955790366,0.0070090017292652315,0.5,0.9998034955790366,4.2674128141833565
Harvard Forest,soil14c_only,Soil 14C,intermediate,0.9790235419199815,0.9790235419199815,0.05952021432157819,0.4109589159488678,0.9790235419199815,1.9321772569534923
Harvard Forest,soil14c_only,Soil 14C,slow,0.991264231455123,0.991264231455123,0.046732666692788416,0.5,0.991264231455123,2.370164677367837
Harvard Forest,resp14c_only,Respired 14C,fast,0.9999398891848338,0.9999398891848338,0.00387655824044546,0.5,0.9999398891848338,4.85966038988153
Harvard Forest,resp14c_only,Respired 14C,intermediate,0.9730307996081354,0.9730307996081354,0.06748891439059419,0.4109589159488678,0.9730307996081354,1.8065298951642135
Harvard Forest,resp14c_only,Respired 14C,slow,0.893645986339174,0.893645986339174,0.16305981545189638,0.5,0.893645986339174,1.120490998968416
Harvard Forest,stocks_soil14c,Stocks + Soil 14C,fast,0.9994271253858159,0.9994271253858159,0.0119673996150386,0.5,0.9994271253858159,3.732421844304151
Harvard Forest,stocks_soil14c,Stocks + Soil 14C,intermediate,0.9653140088012917,0.9653140088012917,0.07653770962141394,0.4109589159488678,0.9653140088012917,1.6807096926978407
Harvard Forest,stocks_soil14c,Stocks + Soil 14C,slow,0.9536464060410922,0.9536464060410922,0.107649424010196,0.5,0.9536464060410922,1.5357282252048985
Harvard Forest,stocks_resp14c,Stocks + Respired 14C,fast,0.9998626707512365,0.9998626707512365,0.005859378140286704,0.5,0.9998626707512365,4.446564619869332
Harvard Forest,stocks_resp14c,Stocks + Respired 14C,intermediate,0.9824360846855374,0.9824360846855374,0.054463942346428394,0.4109589159488678,0.9824360846855374,2.020954373917397
