ecosystem,biome,site,observation_type,delta14c_permil,delta14c_uncertainty_permil,soil_depth_top_cm,soil_depth_bottom_cm,fraction_name,sampling_date
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,136.4397430419922,,,,,1996.3709716796875
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,137.98480224609375,,,,,1996.5269775390625
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,111.25503540039062,,,,,1996.7432861328125
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,122.13999938964844,,,,,1996.9185791015625
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,116.20269775390625,,,,,1997.0992431640625
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,133.4375,,,,,1997.3922119140625
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,140.80340576171875,,,,,1997.6768798828125
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,154.47369384765625,,,,,1997.835693359375
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,102.98429870605469,,,,,1998.279296875
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,104.1613998413086,,,,,1998.4189453125
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,122.69345092773438,,,,,1998.5064697265625
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,127.38351440429688,,,,,1998.615966796875
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,113.92005157470703,,,,,1998.687255859375
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,109.93000030517578,,,,,1998.8104248046875
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,106.99749755859375,,,,,1998.8240966796875
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,122.77144622802734,,,,,1999.2457275390625
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,120.05235290527344,,,,,1999.2484130859375
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,107.79945373535156,,,,,1999.251220703125
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,119.70320129394531,,,,,1999.3634033203125
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,114.34712982177734,,,,,1999.42919921875
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,104.18087005615234,,,,,1999.5250244140625
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,100.25813293457031,,,,,1999.6263427734375
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,99.98873901367188,,,,,1999.7303466796875
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,104.9538345336914,,,,,2000.39013671875
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,91.1726303100586,,,,,2000.491455078125
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,102.58723449707031,,,,,2000.5899658203125
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,105.08200073242188,,,,,2000.7296142578125
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,117.83086395263672,,,,,2000.735107421875
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,86.36949920654297,,,,,2003.5003662109375
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,68.09839630126953,,,,,2006.53662109375
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,69.05946350097656,,,,,2006.6434326171875
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,49.174835205078125,,,,,2006.8350830078125
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,70.2677993774414,,,,,2007.3880615234375
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,69.19176483154297,,,,,2007.738525390625
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,79.25586700439453,,,,,2007.853515625
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,81.99440002441406,,,,,2008.310791015625
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,70.0555648803711,,,,,2008.6912841796875
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,68.07653045654297,,,,,2008.8555908203125
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,70.96666717529297,,,,,2009.4990234375
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,67.48580169677734,,,,,2009.65234375
Harvard Forest,temperate_forest,US-Ha1,respired_carbon,61.942665100097656,,,,,2010.435302734375
Harvard Forest,temperate_forest,US-Ha1,fraction_specific_soil,29.563507080078125,35.5226445576225,,,israd_soil_active_1996,
Harvard Forest,temperate_forest,US-Ha1,fraction_specific_soil,15.806249618530273,21.24855952148948,,,israd_soil_active_2007,
Harvard Forest,temperate_forest,US-Ha1,fraction_specific_soil,63.67599868774414,15.0,,,israd_soil_active_2011,
Harvard Forest,temperate_forest,US-Ha1,fraction_specific_soil,-74.4139404296875,27.447183833512412,,,israd_soil_passive_1996,
Harvard Forest,temperate_forest,US-Ha1,fraction_specific_soil,-86.4000015258789,29.18437044082575,,,israd_soil_passive_2007,
Harvard Forest,temperate_forest,US-Ha1,fraction_specific_soil,1.124901533126831,16.031945761887712,,,israd_soil_slow_2011,
Barrow,arctic_tundra,US-A10,bulk_soil,-116.10909271240234,,,,soil_active,2014.5009765625
Barrow,arctic_tundra,US-A10,bulk_soil,-278.79998779296875,,,,soil_slow,2014.5009765625
Barrow,arctic_tundra,US-A10,bulk_soil,-521.2000122070312,,,,soil_passive,2014.5009765625
Barrow,arctic_tundra,US-A10,respired_carbon,32.70000076293945,,,,,2012.6036376953125
Barrow,arctic_tundra,US-A10,respired_carbon,-34.400001525878906,,,,,2012.6064453125
Barrow,arctic_tundra,US-A10,respired_carbon,31.350000381469727,,,,,2012.609130859375
Barrow,arctic_tundra,US-A10,respired_carbon,40.400001525878906,,,,,2012.6119384765625
Barrow,arctic_tundra,US-A10,respired_carbon,21.0,,,,,2012.6146240234375
Barrow,arctic_tundra,US-A10,respired_carbon,27.799999237060547,,,,,2012.617431640625
Barrow,arctic_tundra,US-A10,respired_carbon,7.360000133514404,,,,,2012.7652587890625
Barrow,arctic_tundra,US-A10,respired_carbon,30.5,,,,,2013.5263671875
Barrow,arctic_tundra,US-A10,respired_carbon,31.600000381469727,,,,,2013.5318603515625
Barrow,arctic_tundra,US-A10,respired_carbon,25.933332443237305,,,,,2013.6768798828125
Barrow,arctic_tundra,US-A10,respired_carbon,17.725000381469727,,,,,2013.6796875
Barrow,arctic_tundra,US-A10,respired_carbon,22.125,,,,,2013.682373046875
Barrow,arctic_tundra,US-A10,respired_carbon,-18.6200008392334,,,,,2014.6680908203125
Barrow,arctic_tundra,US-A10,respired_carbon,-1.649999976158142,,,,,2014.6817626953125
Howland Forest,boreal_forest,US-Ho1,bulk_soil,284.0,,,,soil_active,1996.0013427734375
Howland Forest,boreal_forest,US-Ho1,bulk_soil,113.60723114013672,,,,soil_active,1996.4996337890625
Howland Forest,boreal_forest,US-Ho1,bulk_soil,207.1999969482422,,,,soil_active,1997.4990234375
Howland Forest,boreal_forest,US-Ho1,bulk_soil,118.40078735351562,,,,soil_active,2007.5003662109375
Howland Forest,boreal_forest,US-Ho1,bulk_soil,82.0,,,,soil_slow,1996.0013427734375
Howland Forest,boreal_forest,US-Ho1,bulk_soil,-39.400001525878906,,,,soil_slow,2007.5003662109375
Howland Forest,boreal_forest,US-Ho1,bulk_soil,23.0,,,,soil_passive,1996.0013427734375
Howland Forest,boreal_forest,US-Ho1,respired_carbon,123.47880554199219,,,,,1997.6248779296875
Howland Forest,boreal_forest,US-Ho1,respired_carbon,123.45695495605469,,,,,1998.29296875
Howland Forest,boreal_forest,US-Ho1,respired_carbon,117.21288299560547,,,,,1998.457275390625
Howland Forest,boreal_forest,US-Ho1,respired_carbon,119.98770904541016,,,,,1998.5421142578125
Howland Forest,boreal_forest,US-Ho1,respired_carbon,144.20352172851562,,,,,1998.624267578125
Howland Forest,boreal_forest,US-Ho1,respired_carbon,109.57666778564453,,,,,1998.7091064453125
Howland Forest,boreal_forest,US-Ho1,respired_carbon,123.51847839355469,,,,,1998.791259765625
Howland Forest,boreal_forest,US-Ho1,respired_carbon,108.93997955322266,,,,,1999.5413818359375
Howland Forest,boreal_forest,US-Ho1,respired_carbon,105.45958709716797,,,,,1999.6263427734375
Howland Forest,boreal_forest,US-Ho1,respired_carbon,121.03535461425781,,,,,1999.79052734375
Howland Forest,boreal_forest,US-Ho1,respired_carbon,122.18989562988281,,,,,2000.3736572265625
Howland Forest,boreal_forest,US-Ho1,fraction_specific_soil,83.94999694824219,15.0,,,israd_density_soil_active_1986,
Howland Forest,boreal_forest,US-Ho1,fraction_specific_soil,94.0,20.0,,,israd_density_soil_active_1996,
Howland Forest,boreal_forest,US-Ho1,fraction_specific_soil,45.58000183105469,15.0,,,israd_density_soil_active_1997,
Howland Forest,boreal_forest,US-Ho1,fraction_specific_soil,-78.66666412353516,24.88492068188585,,,israd_density_soil_passive_1996,
Howland Forest,boreal_forest,US-Ho1,fraction_specific_soil,-68.0,27.617928959282953,,,israd_density_soil_passive_1997,
Eight-mile Lake,arctic_tundra,US-EML,bulk_soil,-57.28982162475586,,,,soil_active,2008.0013427734375
Eight-mile Lake,arctic_tundra,US-EML,bulk_soil,-391.0356140136719,,,,soil_slow,2008.0013427734375
Eight-mile Lake,arctic_tundra,US-EML,bulk_soil,-579.0341796875,,,,soil_passive,2008.0013427734375
Eight-mile Lake,arctic_tundra,US-EML,respired_carbon,60.689998626708984,,,,,2008.0013427734375
Eight-mile Lake,arctic_tundra,US-EML,respired_carbon,61.182220458984375,,,,,2008.373779296875
Eight-mile Lake,arctic_tundra,US-EML,respired_carbon,62.669090270996094,,,,,2008.4586181640625
Eight-mile Lake,arctic_tundra,US-EML,respired_carbon,55.01599884033203,,,,,2008.540771484375
Eight-mile Lake,arctic_tundra,US-EML,respired_carbon,48.92399978637695,,,,,2008.6256103515625
Eight-mile Lake,arctic_tundra,US-EML,respired_carbon,42.89666748046875,,,,,2008.707763671875
Eight-mile Lake,arctic_tundra,US-EML,respired_carbon,62.11249923706055,,,,,2009.375732421875
Eight-mile Lake,arctic_tundra,US-EML,respired_carbon,54.93363571166992,,,,,2009.542724609375
Eight-mile Lake,arctic_tundra,US-EML,respired_carbon,53.12727355957031,,,,,2009.70703125
Eight-mile Lake,arctic_tundra,US-EML,respired_carbon,13.296667098999023,,,,,2010.624267578125
Eight-mile Lake,arctic_tundra,US-EML,respired_carbon,43.8025016784668,,,,,2011.626220703125
Eight-mile Lake,arctic_tundra,US-EML,respired_carbon,38.830833435058594,,,,,2012.6256103515625
Eight-mile Lake,arctic_tundra,US-EML,fraction_specific_soil,238.0065155029297,35.25952192980997,,,israd_macrofossil_soil_active_2004,
Eight-mile Lake,arctic_tundra,US-EML,fraction_specific_soil,367.9891357421875,51.37374067039259,,,israd_macrofossil_soil_slow_2004,
