ecosystem,observation_subset,observation_subset_label,draw,q10,delta_temperature_c,year,mode,control_carbon,warm_carbon,control_respiration,warm_respiration,cumulative_control_respiration,cumulative_warm_respiration
Harvard Forest,prior_only,Prior,0,2.0,4.0,10,fast,1213.6019287109375,891.2183227539062,2737.7900687648216,2996.6270717569705,2737.7900687648216,2996.6270717569705
Harvard Forest,prior_only,Prior,0,2.0,4.0,50,fast,1290.957763671875,945.1691284179688,14118.413409807565,14396.384761922598,14118.413409807565,14396.384761922598
Harvard Forest,prior_only,Prior,0,2.0,4.0,100,fast,1290.0411376953125,944.2813110351562,28132.118532894106,28410.47708122433,28132.118532894106,28410.47708122433
Harvard Forest,prior_only,Prior,0,2.0,4.0,10,intermediate,3767.0107421875,3623.0107421875,639.4595506328885,830.1972934568279,639.4595506328885,830.1972934568279
Harvard Forest,prior_only,Prior,0,2.0,4.0,50,intermediate,3747.94970703125,3127.08642578125,3216.1420749495232,3849.8295927588943,3216.1420749495232,3849.8295927588943
Harvard Forest,prior_only,Prior,0,2.0,4.0,100,intermediate,3719.2822265625,2903.028564453125,6393.756848544159,7207.21315446852,6393.756848544159,7207.21315446852
Harvard Forest,prior_only,Prior,0,2.0,4.0,10,slow,1044.39404296875,1043.158935546875,55.805521708135316,73.61868049288884,55.805521708135316,73.61868049288884
Harvard Forest,prior_only,Prior,0,2.0,4.0,50,slow,1041.840576171875,1010.4489135742188,282.23669924315743,368.65048267534826,282.23669924315743,368.65048267534826
Harvard Forest,prior_only,Prior,0,2.0,4.0,100,slow,1036.7530517578125,951.7589721679688,563.3546317790012,719.0253914020334,563.3546317790012,719.0253914020334
Harvard Forest,prior_only,Prior,1,2.0,4.0,10,fast,408.5680236816406,276.785400390625,2607.8858332280797,2709.387290272184,2607.8858332280797,2709.387290272184
Harvard Forest,prior_only,Prior,1,2.0,4.0,50,fast,473.2355651855469,342.65643310546875,13543.709096256922,13645.039660130158,13543.709096256922,13645.039660130158
Harvard Forest,prior_only,Prior,1,2.0,4.0,100,fast,472.41796875,341.8719177246094,26997.54391940107,27099.766927262106,26997.54391940107,27099.766927262106
Harvard Forest,prior_only,Prior,1,2.0,4.0,10,intermediate,1470.6707763671875,1303.5518798828125,766.3190511653195,955.1770421438557,766.3190511653195,955.1770421438557
Harvard Forest,prior_only,Prior,1,2.0,4.0,50,intermediate,1481.79931640625,1133.154052734375,3858.6949797652323,4221.083596623888,3858.6949797652323,4221.083596623888
Harvard Forest,prior_only,Prior,1,2.0,4.0,100,intermediate,1478.82080078125,1121.7406005859375,7679.068950176214,8049.540189705234,7679.068950176214,8049.540189705234
Harvard Forest,prior_only,Prior,1,2.0,4.0,10,slow,616.9998168945312,614.4088745117188,34.42065614658841,45.360448304497424,34.42065614658841,45.360448304497424
Harvard Forest,prior_only,Prior,1,2.0,4.0,50,slow,614.3699951171875,580.0382080078125,173.87886438459844,224.22981051501415,173.87886438459844,224.22981051501415
Harvard Forest,prior_only,Prior,1,2.0,4.0,100,slow,610.592529296875,541.0302124023438,346.69581197867114,432.62298129781664,346.69581197867114,432.62298129781664
Harvard Forest,prior_only,Prior,2,2.0,4.0,10,fast,1670.845458984375,1263.232666015625,2797.378221829576,3130.589257074336,2797.378221829576,3130.589257074336
Harvard Forest,prior_only,Prior,2,2.0,4.0,50,fast,1765.1002197265625,1302.7225341796875,14368.45728891951,14746.691980506981,14368.45728891951,14746.691980506981
Harvard Forest,prior_only,Prior,2,2.0,4.0,100,fast,1764.15087890625,1301.803955078125,28633.717269293407,29012.244573225275,28633.717269293407,29012.244573225275
Harvard Forest,prior_only,Prior,2,2.0,4.0,10,intermediate,1645.1522216796875,1537.54150390625,600.8867264861519,771.0586763324216,600.8867264861519,771.0586763324216
Harvard Forest,prior_only,Prior,2,2.0,4.0,50,intermediate,1641.6544189453125,1285.310546875,3013.8908463268804,3426.22246085527,3013.8908463268804,3426.22246085527
Harvard Forest,prior_only,Prior,2,2.0,4.0,100,intermediate,1634.3446044921875,1246.98974609375,5991.539128124077,6432.902356606741,5991.539128124077,6432.902356606741
Harvard Forest,prior_only,Prior,2,2.0,4.0,10,slow,431.12530517578125,429.589111328125,41.247414827176485,54.374705334800964,41.247414827176485,54.374705334800964
Harvard Forest,prior_only,Prior,2,2.0,4.0,50,slow,428.51043701171875,397.57574462890625,208.25849086943757,267.2750282102678,208.25849086943757,267.2750282102678
Harvard Forest,prior_only,Prior,2,2.0,4.0,100,slow,424.8418273925781,360.9667053222656,414.77575559325817,508.71430429021143,414.77575559325817,508.71430429021143
Harvard Forest,prior_only,Prior,3,2.0,4.0,10,fast,1494.33056640625,1117.883544921875,2959.6761629376106,3285.705922810994,2959.6761629376106,3285.705922810994
Harvard Forest,prior_only,Prior,3,2.0,4.0,50,fast,1582.2376708984375,1164.2783203125,15224.98134193142,15587.276470240391,15224.98134193142,15587.276470240391
Harvard Forest,prior_only,Prior,3,2.0,4.0,100,fast,1581.301513671875,1163.3702392578125,30339.329815864287,30701.95609640613,30339.329815864287,30701.95609640613
Harvard Forest,prior_only,Prior,3,2.0,4.0,10,intermediate,1515.541748046875,1430.0709228515625,386.0077702301223,497.2564932895252,386.0077702301223,497.2564932895252
Harvard Forest,prior_only,Prior,3,2.0,4.0,50,intermediate,1510.0545654296875,1200.842529296875,1937.5264102924061,2236.81570493989,1937.5264102924061,2236.81570493989
Harvard Forest,prior_only,Prior,3,2.0,4.0,100,intermediate,1501.4774169921875,1148.3074951171875,3850.9454296372783,4186.276409916735,3850.9454296372783,4186.276409916735
Harvard Forest,prior_only,Prior,3,2.0,4.0,10,slow,1415.4058837890625,1412.5992431640625,85.17510136891826,112.33596770633761,85.17510136891826,112.33596770633761
Harvard Forest,prior_only,Prior,3,2.0,4.0,50,slow,1410.186767578125,1347.239013671875,430.5270872492646,559.0108114839621,430.5270872492646,559.0108114839621
Harvard Forest,prior_only,Prior,3,2.0,4.0,100,slow,1401.4381103515625,1252.5142822265625,858.68608555318,1081.0433877918986,858.68608555318,1081.0433877918986
Harvard Forest,prior_only,Prior,4,2.0,4.0,10,fast,2054.109375,1585.71630859375,2340.488502081407,2659.9538052231674,2340.488502081407,2659.9538052231674
